sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,550,1.4423e+26,0.000028216,0.0016365,1.492,0.00018719,1.7783,0.43153,35440.8846044797,0.001241852,0.0006983366
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,600,1.5424e+26,0.000030899,0.0013365,1.226,0.00020167,1.534,0.51314,32363.5069096087,0.0013162494,0.0008580504
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,650,1.6426e+26,0.000033827,,,0.00021616,1.2897,0.59475,29562.1840541579,0.0013812974,0.0010710222
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,350,1.5927e+26,0.000016369,0.0023068,2.5446,0.00011518,2.8378,0.096687,61091.0868104344,0.0008104608,0.0002855947
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,400,1.7043e+26,0.000018042,0.0020841,2.2803,0.00012889,2.5969,0.17427,55426.2276909433,0.0009207755,0.0003545672
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,450,1.8159e+26,0.000019714,0.0018615,2.016,0.00014229,2.3561,0.25186,50725.3728314903,0.0010270084,0.0004358934
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,500,1.9276e+26,0.000021387,0.0016388,1.7517,0.00015548,2.1152,0.32945,46757.3759760602,0.0011303142,0.000534377
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,550,2.0392e+26,0.000023059,0.0014162,1.4874,0.00016854,1.8744,0.40703,43367.0150483542,0.0012318718,0.0006572086
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,600,2.1508e+26,0.000024732,0.0011935,1.2231,0.00018154,1.6335,0.48462,40433.4465469837,0.0013325559,0.0008157673
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,650,2.2625e+26,0.000026404,0.00097086,,0.00019454,1.3927,0.56221,37873.0495379488,0.0014333363,0.0010291781
