sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical conductivity,Power factor,Figure of merit Z
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,4e+25,,,0.000096196,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,4.5e+25,,,0.000091106,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,5e+25,,,0.000086016,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,5.5e+25,,,0.000080926,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,6e+25,,,0.000075836,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,6.5e+25,,,0.000070746,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,7e+25,,,0.000065656,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,7.5e+25,,,0.000060566,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,8e+25,,,0.000055476,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,8.5e+25,,,0.000050386,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,9e+25,,,0.000045296,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,9.5e+25,,,0.000040206,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1e+26,,,0.000035116,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.05e+26,,,0.000030026,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.1e+26,,,0.000024936,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.15e+26,,,0.000019846,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.2e+26,,,0.000014756,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.25e+26,,,0.0000096663,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.3e+26,,,0.0000045763,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.35e+26,,,-5.137e-7,,,,,,
860,10.1039/c1ee01314a,26697,4,33478,PbTe1-xIx_ 400k,undefined,,1.4e+26,,,-0.0000056037,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1e+25,,,0.00016516,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.5e+25,,,0.00015892,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,2e+25,,,0.00015268,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,2.5e+25,,,0.00014645,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,3e+25,,,0.00014021,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,3.5e+25,,,0.00013397,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,4e+25,,,0.00012774,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,4.5e+25,,,0.0001215,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,5e+25,,,0.00011526,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,5.5e+25,,,0.00010903,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,6e+25,,,0.00010279,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,6.5e+25,,,0.000096552,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,7e+25,,,0.000090315,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,7.5e+25,,,0.000084078,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,8e+25,,,0.000077841,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,8.5e+25,,,0.000071604,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,9e+25,,,0.000065367,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,9.5e+25,,,0.00005913,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1e+26,,,0.000052893,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.05e+26,,,0.000046656,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.1e+26,,,0.000040419,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.15e+26,,,0.000034182,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.2e+26,,,0.000027945,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.25e+26,,,0.000021708,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.3e+26,,,0.000015471,,,,,,
860,10.1039/c1ee01314a,26697,4,33482,PbTe1-xIx_ 500k,undefined,,1.35e+26,,,0.0000092339,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1e+25,,,0.00017363,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.5e+25,,,0.00016755,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,2e+25,,,0.00016147,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,2.5e+25,,,0.0001554,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,3e+25,,,0.00014932,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,3.5e+25,,,0.00014324,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,4e+25,,,0.00013716,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,4.5e+25,,,0.00013108,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,5e+25,,,0.000125,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,5.5e+25,,,0.00011893,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,6e+25,,,0.00011285,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,6.5e+25,,,0.00010677,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,7e+25,,,0.00010069,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,7.5e+25,,,0.000094612,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,8e+25,,,0.000088534,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,8.5e+25,,,0.000082455,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,9e+25,,,0.000076377,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,9.5e+25,,,0.000070299,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1e+26,,,0.00006422,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.05e+26,,,0.000058142,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.1e+26,,,0.000052063,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.15e+26,,,0.000045985,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.2e+26,,,0.000039907,,,,,,
860,10.1039/c1ee01314a,26697,4,33481,PbTe1-xIx_ 600k,undefined,,1.25e+26,,,0.000033828,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1e+25,,,0.00019552,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1.5e+25,,,0.00018931,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,2e+25,,,0.0001831,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,2.5e+25,,,0.00017688,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,3e+25,,,0.00017067,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,3.5e+25,,,0.00016446,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,4e+25,,,0.00015825,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,4.5e+25,,,0.00015204,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,5e+25,,,0.00014582,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,5.5e+25,,,0.00013961,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,6e+25,,,0.0001334,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,6.5e+25,,,0.00012719,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,7e+25,,,0.00012098,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,7.5e+25,,,0.00011476,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,8e+25,,,0.00010855,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,8.5e+25,,,0.00010234,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,9e+25,,,0.000096128,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,9.5e+25,,,0.000089916,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1e+26,,,0.000083704,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1.05e+26,,,0.000077492,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1.1e+26,,,0.00007128,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1.15e+26,,,0.000065068,,,,,,
860,10.1039/c1ee01314a,26697,4,33480,PbTe1-xIx_ 700k,undefined,,1.2e+26,,,0.000058856,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,1.5e+25,,,0.00020749,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,2e+25,,,0.00020089,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,2.5e+25,,,0.00019428,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,3e+25,,,0.00018767,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,3.5e+25,,,0.00018106,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,4e+25,,,0.00017446,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,4.5e+25,,,0.00016785,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,5e+25,,,0.00016124,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,5.5e+25,,,0.00015463,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,6e+25,,,0.00014803,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,6.5e+25,,,0.00014142,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,7e+25,,,0.00013481,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,7.5e+25,,,0.0001282,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,8e+25,,,0.0001216,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,8.5e+25,,,0.00011499,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,9e+25,,,0.00010838,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,9.5e+25,,,0.00010177,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,1e+26,,,0.000095167,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,1.05e+26,,,0.000088559,,,,,,
860,10.1039/c1ee01314a,26697,4,33479,PbTe1-xIx_ 800k,undefined,,1.1e+26,,,0.000081952,,,,,,
