sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,total thermal conductivity,Figure of merit Z
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,300,,,32487,0.000030782,,0.00049954,0.0001243,,,,,
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,350,,,30373,0.000032924,,0.00053777,0.00013346,3.3773,0.049988,,,0.0001592307
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,400,,,28518,0.000035066,,0.000576,0.00014263,3.1857,0.07735,,,0.000180808
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,450,,,26876,0.000037208,,0.00061424,0.00015179,2.9941,0.10471,,,0.0002051501
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,500,,,25413,0.00003935,,0.00065247,0.00016096,2.8024,0.13207,,,0.0002328254
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,550,,,24100,0.000041493,,0.00069071,0.00017012,2.6108,0.15943,,,0.0002645588
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,600,,,22917,0.000043635,,0.00072894,0.00017929,2.4191,0.1868,,,0.0003013269
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,650,,,21845,0.000045777,,0.00076717,0.00018845,2.2275,0.21416,,,0.0003444085
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,700,,,20869,0.000047919,,0.00080541,0.00019761,2.0359,0.24152,,,0.0003956039
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,350,,,61043,0.000016382,,0.00085688,0.00011919,3.0119,0.083096,,,0.0002844982
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,400,,,55885,0.000017894,,0.00091368,0.00012838,2.8167,0.13586,,,0.0003243796
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,450,,,51530,0.000019406,,0.00097049,0.00013757,2.6214,0.18863,,,0.0003702182
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,500,,,47806,0.000020918,,0.0010273,0.00014676,2.4262,0.24139,,,0.0004234193
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,550,,,44583,0.00002243,,0.0010841,0.00015596,2.2309,0.29416,,,0.0004859474
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,600,,,41768,0.000023942,,0.0011409,0.00016515,2.0357,0.34692,,,0.000560446
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,650,,,39287,0.000025454,,0.0011977,0.00017434,1.8404,0.39969,,,0.0006507824
10954,10.1007/s11664-015-4303-6,5134,3(a),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,700,,,37085,0.000026965,,0.0012545,0.00018353,1.6452,0.45245,,,0.0007625213
10954,10.1007/s11664-015-4303-6,5137,3(c),6468,x=0.1,Ca0.9Eu0.1Zn2Sb2,300,,,,,,0.00080007,,3.2072,0.03033,,,0.0002494606
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,300,,,71372,0.000014011,,,,,,,,
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,350,,,65164,0.000015346,,0.00096965,0.00012217,3.1593,0.090077,,,0.0003069193
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,400,,,59952,0.00001668,,0.0010377,0.0001314,2.9706,0.14294,,,0.0003493234
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,450,,,55509,0.000018015,,0.0011057,0.00014063,2.7818,0.1958,,,0.0003974765
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,500,,,51682,0.000019349,,0.0011737,0.00014986,2.5931,0.24866,,,0.0004526243
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,550,,,48347,0.000020684,,0.0012417,0.0001591,2.4043,0.30152,,,0.0005164497
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,600,,,45415,0.000022019,,0.0013098,0.00016833,2.2156,0.35438,,,0.0005911717
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,650,,,42821,0.000023353,,0.0013778,0.00017756,2.0268,0.40724,,,0.0006797908
10954,10.1007/s11664-015-4303-6,5134,3(a),6469,x=0.3,Ca0.7Eu0.3Zn2Sb2,700,,,40506,0.000024688,,0.0014458,0.00018679,1.8381,0.4601,,,0.0007865731
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,350,,,70781,0.000014128,,0.0010817,0.00012267,2.7466,0.11762,,,0.0003938324
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,400,,,64885,0.000015412,,0.0011499,0.00013216,2.5879,0.184,,,0.0004443371
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,450,,,59895,0.000016696,,0.0012182,0.00014164,2.4292,0.25037,,,0.000501482
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,500,,,55617,0.00001798,,0.0012864,0.00015113,2.2704,0.31675,,,0.0005665962
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,550,,,51910,0.000019264,,0.0013546,0.00016062,2.1117,0.38313,,,0.0006414737
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,600,,,48667,0.000020548,,0.0014228,0.0001701,1.953,0.4495,,,0.0007285202
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,650,,,45802,0.000021833,,0.0014911,0.00017959,1.7943,0.51588,,,0.0008310205
10954,10.1007/s11664-015-4303-6,5134,3(a),6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,700,,,43258,0.000023117,,0.0015593,0.00018908,1.6356,0.58225,,,0.0009533505
10954,10.1007/s11664-015-4303-6,5139,4,6470,x=0.7,Ca0.3Eu0.7Zn2Sb2,300,,,,,,,,,0.051246,,,
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,350,,,81031,0.000012341,,0.001217,0.00012259,2.5496,0.13773,,,0.0004773298
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,400,,,74123,0.000013491,,0.0012876,0.00013246,2.3917,0.22014,,,0.0005383618
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,450,,,67935,0.00001472,,0.0013582,0.00014234,2.2339,0.30255,,,0.000607995
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,500,,,62395,0.000016027,,0.0014288,0.00015221,2.076,0.38496,,,0.0006882466
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,550,,,57428,0.000017413,,0.0014994,0.00016209,1.9181,0.46737,,,0.0007817111
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,600,,,52972,0.000018878,,0.00157,0.00017196,1.7602,0.54978,,,0.0008919441
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,650,,,48969,0.000020421,,0.0016406,0.00018184,1.6023,0.63219,,,0.0010239031
10954,10.1007/s11664-015-4303-6,5134,3(a),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,700,,,45366,0.000022043,,0.0017112,0.00019171,1.4444,0.71459,,,0.0011847134
10954,10.1007/s11664-015-4303-6,5136,3(b),6471,x=0.9,Ca0.1Eu0.9Zn2Sb2,300,,,,,,,0.00011271,,0.055322,,,
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,350,,,82974,0.000012052,,0.0013573,0.00012593,2.2828,0.18575,,,0.0005945768
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,400,,,77791,0.000012855,,0.0014604,0.00013786,2.141,0.29372,,,0.0006821112
