sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,400,,35.566,0.028117,,,,0.000047512,0.00040544,0.69872,0.0002515,,0.0000679986
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,450,,24.076,0.041535,,,,0.000067799,0.0004087,0.66965,0.047164,,0.0001012454
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,500,,18.197,0.054953,,,,0.000088085,0.00041196,0.64059,0.094077,,0.000137506
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,550,,14.626,0.06837,,,,0.00010837,0.00041521,0.61153,0.14099,,0.0001772113
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,600,,12.227,0.081788,,,,0.00012866,0.00041847,0.58247,0.1879,,0.0002208869
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,650,,10.504,0.095206,,,,0.00014894,0.00042173,0.5534,0.23482,,0.0002691362
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,700,,9.2064,0.10862,,,,0.00016923,0.00042499,0.52434,0.28173,,0.0003227486
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,750,,8.194,0.12204,,,,0.00018952,0.00042824,0.49528,0.32864,,0.0003826522
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,800,,7.3823,0.13546,,,,0.0002098,0.0004315,0.46622,0.37555,,0.0004500021
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,850,,6.7168,0.14888,,,,0.00023009,0.00043476,0.43715,0.42247,,0.0005263411
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,900,,6.1618,0.16229,,,,0.00025038,0.00043802,0.40809,0.46938,,0.0006135411
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,350,,74.94,0.013344,,,,0.000013638,0.00037817,0.9598,-0.020936,,0.0000142092
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,400,,44.829,0.022307,,,,0.000032892,0.0003888,0.91124,0.0080915,,0.0000360959
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,450,,31.981,0.031269,,,,0.000052146,0.00039943,0.86269,0.037119,,0.0000604458
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,500,,24.856,0.040232,,,,0.0000714,0.00041006,0.81413,0.066147,,0.000087701
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,550,,20.327,0.049195,,,,0.000090655,0.00042069,0.76558,0.095175,,0.0001184135
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,600,,17.195,0.058157,,,,0.00010991,0.00043132,0.71702,0.1242,,0.0001532872
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,650,,14.899,0.06712,,,,0.00012916,0.00044194,0.66847,0.15323,,0.0001932173
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,700,,13.144,0.076083,,,,0.00014842,0.00045257,0.61991,0.18226,,0.0002394219
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,750,,11.758,0.085045,,,,0.00016767,0.0004632,0.57135,0.21129,,0.0002934629
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,800,,10.637,0.094008,,,,0.00018693,0.00047383,0.5228,0.24031,,0.0003575555
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,350,,17.973,0.055639,,,,0.000077337,0.00037156,1.214,0.0051345,,0.0000637043
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,400,,17.428,0.057378,,,,0.000086823,0.0003817,1.1379,0.022487,,0.0000763011
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,450,,16.916,0.059117,,,,0.000096309,0.00039185,1.0619,0.03984,,0.000090695
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,500,,16.432,0.060857,,,,0.00010579,0.00040199,0.98582,0.057193,,0.0001073117
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,550,,15.975,0.062596,,,,0.00011528,0.00041213,0.90977,0.074546,,0.0001267133
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,600,,15.544,0.064335,,,,0.00012477,0.00042227,0.83372,0.091899,,0.0001496546
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,650,,15.134,0.066075,,,,0.00013425,0.00043241,0.75767,0.10925,,0.000177188
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,700,,14.746,0.067814,,,,0.00014374,0.00044255,0.68163,0.1266,,0.0002108769
2798,10.1039/c4ta04462b,5789,3(b),7218,x=2,Sn0.98Ag0.02S,750,,14.378,0.069553,,,,0.00015322,0.00045269,0.60558,0.14396,,0.0002530136
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,300,,,,,,2.9155,,,8.0519,,,
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,350,,0.014637,68.32,7.77e-8,0.050602,2.537,0,0.000014131,7.571,0.0097533,,0
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,400,,0.018915,52.868,8.67e-8,0.046477,2.3259,0,0.000019644,6.9582,0.014207,,0
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,450,,0.024158,41.394,9.56e-8,0.042353,2.2012,0,0.000026911,6.298,0.022152,,0
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,500,,0.029709,33.66,1.046e-7,0.038229,2.1115,0,0.000035881,5.6398,0.038345,,0
