sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical conductivity,Power factor
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,650,,0.0000091248,3.91e-8,0.0047201,1.1798,0.0000938,0.37014,,109591.4431001227,0.0009642337
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,700,,0.000010502,3.6e-8,0.0038461,1.0886,0.00010617,0.44962,,95219.9581032184,0.0010733259
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,750,,0.000011878,3.12e-8,0.002972,0.99748,0.00011854,0.52911,,84189.2574507493,0.0011830048
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,800,,0.000013255,2.47e-8,0.002098,0.90632,0.00013091,0.60859,,75443.2289701999,0.0012929029
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,850,,0.000014632,1.64e-8,0.001224,0.81517,0.00014328,0.68807,,68343.3570256971,0.0014030316
27946,10.1021/acsenergylett.6b00671,25745,Figure 4C (II),31746,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.01_ nH = 3.0e20 cm^-3,undefined,900,,,,,0.72401,,,,,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,350,,5.038e-7,6.88e-8,0.014887,1.4091,0.000025382,-0.075353,,1984993.4495216166,0.0012788239
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,400,,0.000002801,6.59e-8,0.0135,1.3362,0.000041182,0.0080174,,357015.3516601214,0.0006054827
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,450,,0.0000050983,6.31e-8,0.012113,1.2633,0.000056982,0.091388,,196143.8126434302,0.0006368688
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,500,,0.0000073955,6.02e-8,0.010726,1.1903,0.000072782,0.17476,,135217.3619092692,0.000716276
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,550,,0.0000096927,5.74e-8,0.0093395,1.1174,0.000088582,0.25813,,103170.4272287392,0.0008095547
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,600,,0.00001199,5.45e-8,0.0079527,1.0445,0.00010438,0.3415,,83402.8356964137,0.0009086893
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,650,,0.000014287,5.17e-8,0.0065658,0.97154,0.00012018,0.42487,,69993.700566949,0.0010109353
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,700,,0.000016584,4.88e-8,0.005179,0.8986,0.00013598,0.50824,,60299.0834539315,0.0011149638
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,750,,0.000018882,4.6e-8,0.0037922,0.82567,0.00015178,0.59161,,52960.4914733609,0.0012200598
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,800,,0.000021179,4.31e-8,0.0024054,0.75273,0.00016758,0.67498,,47216.5824637613,0.0013259859
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,850,,0.000023476,4.03e-8,0.0010185,0.6798,0.00018338,0.75836,,42596.6944965071,0.0014324512
27946,10.1021/acsenergylett.6b00671,25741,Figure 4C,31747,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.03_ nH = 1.5e20 cm^-3,undefined,900,,,,,0.60686,,,,,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,350,,-1.539e-7,6.47e-8,0.017466,3.8459,,-0.13559,,-6496037.417175523,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,400,,0.0000020631,6.27e-8,0.015858,3.5649,,-0.02441,,484707.4790364015,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,450,,0.0000042801,6.06e-8,0.014251,3.2839,,0.086774,,233639.400948576,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,500,,0.0000064972,5.85e-8,0.012644,3.0029,,0.19796,,153912.4545958259,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,550,,0.0000087142,5.64e-8,0.011037,2.7219,,0.30914,,114755.2271005944,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,600,,0.000010931,5.44e-8,0.0094294,2.4409,,0.42033,,91482.9384319824,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,650,,0.000013148,5.23e-8,0.0078221,2.1598,,0.53151,,76057.195010648,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,700,,0.000015365,5.02e-8,0.0062149,1.8788,,0.64269,,65082.9808005207,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,750,,0.000017582,4.81e-8,0.0046076,1.5978,,0.75388,,56876.3508133318,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,800,,0.000019799,4.61e-8,0.0030004,1.3168,,0.86506,,50507.6013940098,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,850,,0.000022016,4.4e-8,0.0013931,1.0358,,0.97625,,45421.511627907,
27946,10.1021/acsenergylett.6b00671,25745,Figure 4C (II),31748,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.6e20 cm^-3,undefined,900,,,,,0.75481,,,,,
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,350,,-1.461e-7,5.86e-8,0.015701,3.4742,0.000026498,-0.11658,,-6846032.724036421,-0.0048069008
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,400,,0.0000020244,5.7e-8,0.01426,3.2264,0.000041931,-0.0025936,,493973.5230191661,0.0008685086
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,450,,0.0000041949,5.54e-8,0.01282,2.9785,0.000057364,0.11139,,238384.705237312,0.0007844355
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,500,,0.0000063654,5.38e-8,0.011379,2.7306,0.000072797,0.22538,,157099.3181889591,0.0008325326
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,550,,0.0000085359,5.22e-8,0.0099385,2.4828,0.000088229,0.33937,,117152.2627959559,0.000911955
