sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Figure of merit Z
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,500,,,34980,0.32741,0.001055,0.0001784,1.0815,0.85742,,0.0000285878,0.000975497
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,550,,,30625,0.34243,0.0012006,0.00020216,1.0484,1.0323,,0.0000326531,0.0011451736
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,600,,,26271,0.35745,0.0013462,0.00022592,1.0152,1.2071,,0.0000380648,0.0013260441
37,10.1016/j.actamat.2010.04.007,11382,4(a),13626,y=1.29,Ag0.71Sb1.29Te2.26,650,,,21916,0.37247,0.0014918,0.00024967,0.98202,1.3819,,0.0000456288,0.0015191137
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,350,,,69739,0.64467,0.00034961,0.000067469,1.133,0.060758,,0.0000143392,0.0003085702
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,400,,,63429,0.6219,0.00052515,0.000089747,1.0957,0.17514,,0.0000157657,0.0004792827
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,450,,,57119,0.59913,0.00070068,0.00011202,1.0583,0.28952,,0.0000175073,0.0006620807
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,500,,,50809,0.57636,0.00087622,0.0001343,1.021,0.40391,,0.0000196816,0.0008581978
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,550,,,44500,0.55359,0.0010518,0.00015658,0.98368,0.51829,,0.0000224719,0.0010692502
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,600,,,38190,0.53082,0.0012273,0.00017886,0.94635,0.63268,,0.0000261849,0.0012968775
37,10.1016/j.actamat.2010.04.007,11382,4(a),13627,y=1.32,Ag0.68Sb1.32Te2.26,650,,,31880,0.50806,0.0014028,0.00020113,0.90903,0.74706,,0.0000313676,0.0015431834
37,10.1016/j.actamat.2010.04.007,11383,4(b),13627,y=1.32,Ag0.68Sb1.32Te2.26,300,,,,,,0.000045192,,,,,
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,350,,,111840,0.39577,0.00052285,0.000062011,1.0064,0.18183,,0.0000089413,0.000519525
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,400,,,100630,0.38916,0.0006941,0.000081068,0.96856,0.28665,,0.0000099374,0.0007166309
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,450,,,89426,0.38255,0.00086535,0.00010012,0.93069,0.41841,,0.0000111824,0.000929794
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,500,,,78219,0.37595,0.0010366,0.00011918,0.89281,0.58053,,0.0000127846,0.0011610533
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,550,,,67011,0.36934,0.0012078,0.00013824,0.85494,0.777,,0.0000149229,0.0014127307
