sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,550,0.000008692,0.004346,-0.00019436,0.30385,7.8667,115048.3202945237,0.0143031101
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,600,0.0000092683,0.0044805,-0.00020378,0.39517,6.8029,107894.6516621171,0.0113381583
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,650,0.0000098445,0.0046172,-0.0002132,0.4865,6.1689,101579.5621920869,0.0094906475
7980,10.1039/c5ee02600h,7847,1(a),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,700,0.000010421,0.0047557,-0.00022262,0.57782,5.7613,95960.0806064677,0.0082304178
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,50,,0.003795,,3.6823,0.33443,,0.0010306059
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,100,,0.0039227,,3.5725,0.42846,,0.0010980266
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,150,,0.0040505,,3.4628,0.52248,,0.0011697181
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,200,,0.0041782,,3.353,0.61651,,0.001246108
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,250,,0.004306,,3.2432,0.71053,,0.001327701
7980,10.1039/c5ee02600h,7851,1(c),9558,Ge0.10Sb0.01,Mg2Sn0.89Ge0.1Sb0.01,300,,0.0044337,,3.1334,0.80456,,0.0014149805
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,350,0.0000055067,0.0048817,-0.00015089,2.8159,1.0573,181596.963698767,0.0017336198
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,400,0.0000060403,0.0050257,-0.00016036,2.7488,1.1653,165554.6909921693,0.0018283251
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,450,0.0000065738,0.0043869,-0.00016982,2.6816,0.73617,152119.0179196203,0.0016359263
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,500,0.0000071074,0.0045227,-0.00017929,,,140698.4269915862,
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,550,0.0000076409,0.0046626,-0.00018875,,,130874.6351869544,
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,600,0.0000081745,0.0048066,-0.00019822,,,122331.6410789651,
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,650,0.000008708,0.004953,-0.00020768,,,114836.9315571888,
7980,10.1039/c5ee02600h,7847,1(a),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,700,0.0000092416,0.0051024,-0.00021715,,,108206.3711911357,
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,50,,0.004018,,3.2189,0.40931,,0.0012482525
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,100,,0.0041619,,3.1518,0.51731,,0.0013204835
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,150,,0.0043059,,3.0846,0.62531,,0.0013959346
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,200,,0.0044499,,3.0174,0.73332,,0.0014747465
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,250,,0.0045938,,2.9503,0.84132,,0.001557062
7980,10.1039/c5ee02600h,7851,1(c),9560,Ge0.15Sb0.015,Mg2Sn0.835Ge0.15Sb0.015,300,,0.0047378,,2.8831,0.94932,,0.0016433006
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,300,0.0000047604,0.0046837,,2.6796,1.0197,210066.3809763885,0.0017479101
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,350,0.0000051965,0.0048009,-0.00014712,-0.03382,1.134,192437.217357837,-0.1419544648
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,400,0.0000056959,0.0049181,-0.00015635,0.016365,1.2483,175564.8800014045,0.3005255118
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,450,0.000006238,0.0043951,-0.00016558,0.066549,29.719,160307.7909586406,0.066043066
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,500,0.0000068066,0.0044895,-0.00017481,0.11673,19.23,146916.2283665854,0.03846055
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,550,0.000007389,0.0045839,-0.00018404,0.16692,15.104,135336.3107321695,0.0274616583
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,600,0.0000079767,0.0046828,-0.00019327,0.2171,12.942,125365.125929269,0.0215697835
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,650,0.0000085652,0.0047875,-0.0002025,0.26729,11.642,116751.5060944286,0.0179112574
7980,10.1039/c5ee02600h,7847,1(a),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,700,0.0000091538,0.0048974,-0.00021173,0.31747,10.798,109244.2482903275,0.0154263395
7980,10.1039/c5ee02600h,7851,1(c),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,50,,0.0040976,,3.0212,0.448,,0.0013562823
7980,10.1039/c5ee02600h,7851,1(c),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,100,,0.0042148,,2.9529,0.56233,,0.0014273426
7980,10.1039/c5ee02600h,7851,1(c),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,150,,0.004332,,2.8846,0.67666,,0.001501768
7980,10.1039/c5ee02600h,7851,1(c),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,200,,0.0044492,,2.8163,0.791,,0.0015798033
7980,10.1039/c5ee02600h,7851,1(c),9561,Ge0.20Sb0.02,Mg2Sn0.78Ge0.2Sb0.02,250,,0.0045665,,2.7479,0.90533,,0.0016618145
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,300,0.0000047574,0.0051662,,2.8468,1.0549,210198.8481103123,0.0018147394
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,350,0.000005351,0.0052508,-0.0001596,2.7741,1.1719,186880.956830499,0.0018927941
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,400,0.0000059445,0.0053354,-0.00016914,2.7013,1.289,168222.7268904029,0.0019751231
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,450,0.0000065381,0.00542,-0.00017868,2.6285,1.406,152949.6336856273,0.0020620126
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,500,0.0000071317,0.004967,-0.00018821,,,140219.0221125398,
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,550,0.0000077252,0.005062,-0.00019775,,,129446.4868223476,
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,600,0.0000083188,0.0051653,-0.00020729,,,120209.6456219647,
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,650,0.0000089124,0.0052748,-0.00021682,,,112203.2224765495,
7980,10.1039/c5ee02600h,7847,1(a),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,700,0.0000095059,0.0053902,-0.00022636,,,105197.8245089892,
7980,10.1039/c5ee02600h,7851,1(c),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,50,,0.004743,,3.2107,0.46984,,0.001477248
7980,10.1039/c5ee02600h,7851,1(c),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,100,,0.0048277,,3.1379,0.58685,,0.001538513
7980,10.1039/c5ee02600h,7851,1(c),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,150,,0.0049123,,3.0652,0.70387,,0.0016026034
7980,10.1039/c5ee02600h,7851,1(c),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,200,,0.0049969,,2.9924,0.82089,,0.0016698637
7980,10.1039/c5ee02600h,7851,1(c),9562,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,250,,0.0050815,,2.9196,0.9379,,0.0017404781
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,350,0.0000056055,0.0049377,-0.0001516,-0.029832,1.1208,178396.2180001784,-0.1655168946
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,400,0.0000061861,0.0050886,-0.00016203,0.006889,1.2414,161652.7375891111,0.7386558281
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,450,0.0000067667,0.0043949,-0.00017245,0.04361,45.35,147782.5232388018,0.1007773446
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,500,0.0000073473,0.004552,-0.00018288,0.080331,28.333,136104.419310495,0.0566655463
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,550,0.0000079279,0.0047131,-0.0001933,0.11705,22.146,126136.8079819372,0.0402656984
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,600,0.0000085085,0.0048777,-0.00020372,0.15377,19.032,117529.5292942352,0.0317207518
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,650,0.0000090891,0.0050456,-0.00021415,0.19049,17.217,110021.894356977,0.0264874797
7980,10.1039/c5ee02600h,7847,1(a),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,700,0.0000096697,0.0052154,-0.00022457,0.22721,16.068,103415.824689494,0.0229540953
7980,10.1039/c5ee02600h,7851,1(c),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,50,,0.004032,,3.2474,0.39698,,0.0012416087
7980,10.1039/c5ee02600h,7851,1(c),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,100,,0.0041829,,3.1571,0.51762,,0.0013249184
7980,10.1039/c5ee02600h,7851,1(c),9563,Ge0.30Sb0.02, Mg2Sn0.68Ge0.3Sb0.02,150,,0.0043339,,3.0669,0.63825,,0.0014131207
