sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
117,10.1002/aenm.201400486,94,3(a),101,Pb0.99825La0.00175Te1,Pb0.99825La0.00175Te1,750,0.000017754,-0.00018874,1.3405,1.0915,56325.3351357441,0.0020064655,0.0014968038
117,10.1002/aenm.201400486,94,3(a),101,Pb0.99825La0.00175Te1,Pb0.99825La0.00175Te1,800,0.000020951,-0.0001946,1.3091,1.1913,47730.4185957711,0.0018075109,0.0013807279
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,300,0.0000021856,-0.000041331,5.3794,-0.075372,457540.2635431918,0.0007815939,0.0001452939
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,350,0.0000027701,-0.000048444,4.768,0.0088767,360997.7979134328,0.0008471973,0.000177684
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,400,0.0000032692,-0.000056212,4.2713,0.093125,305885.2318610058,0.0009665328,0.0002262854
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,450,0.0000037673,-0.000064828,3.85,0.17737,265442.0938072359,0.0011155654,0.0002897573
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,500,0.000004308,-0.000074089,3.4784,0.26162,232126.2766945218,0.0012741829,0.0003663129
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,550,0.0000049071,-0.000083594,3.1416,0.34587,203786.3503902509,0.0014240502,0.0004532882
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,600,0.0000055663,-0.00009294,2.8334,0.43012,179652.5519645007,0.0015518106,0.000547685
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,650,0.0000062862,-0.00010192,2.5532,0.51437,159078.6166523496,0.0016524588,0.0006472109
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,700,0.0000070797,-0.00011072,2.3035,0.59862,141248.9229769623,0.001731559,0.0007517078
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,750,0.0000079853,-0.00012011,2.0876,0.68286,125230.1103277272,0.0018066212,0.0008654058
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,800,0.0000090805,-0.00013165,1.9065,0.76711,110126.0943780629,0.0019086749,0.0010011408
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,350,0.0000056094,-0.00011357,2.7582,0.38836,178272.1859735444,0.0022993805,0.0008336526
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,400,0.0000074891,-0.00013369,2.3537,0.4666,133527.3931447036,0.0023865372,0.0010139513
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,450,0.0000095064,-0.00015213,2.0563,0.54484,105192.2915088782,0.0024345217,0.0011839331
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,500,0.000011683,-0.00016893,1.8278,0.62307,85594.4534794145,0.0024426384,0.0013363817
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,550,0.000014063,-0.00018376,1.6455,0.70131,71108.5828059447,0.002401176,0.0014592379
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,600,0.000016699,-0.00019605,1.4984,0.77955,59883.8253787652,0.0023016709,0.0015360858
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,650,0.000019629,-0.00020527,1.3838,0.85779,50945.030312293,0.0021466082,0.0015512417
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,700,0.000022861,-0.00021111,1.3044,0.93602,43742.6184331394,0.0019494962,0.001494554
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,750,0.000026352,-0.00021373,1.2643,1.0143,37947.7838494232,0.0017334742,0.0013710941
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,800,0.000029995,-0.00021391,1.266,1.0925,33338.8898149692,0.0015255039,0.0012049793
117,10.1002/aenm.201400486,4818,3(d),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,300,,,,0.31013,,,
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,350,0.0000042666,-0.000092211,3.2995,0.21246,234378.6621665964,0.0019928909,0.0006039979
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,400,0.0000054969,-0.00010453,2.8272,0.31652,181920.7189506813,0.0019877605,0.0007030845
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,450,0.0000068191,-0.00011684,2.487,0.42058,146646.9182150137,0.002001963,0.000804971
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,500,0.0000082166,-0.00012915,2.22,0.52465,121704.8414185916,0.002030003,0.0009144158
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,550,0.0000097053,-0.00014147,1.9949,0.62871,103036.4852194162,0.0020621476,0.0010337097
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,600,0.000011323,-0.00015378,1.8006,0.73277,88315.8173628897,0.0020885179,0.0011599011
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,650,0.000013121,-0.00016609,1.6385,0.83684,76213.7032238396,0.0021024227,0.0012831387
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,700,0.000015151,-0.00017841,1.5146,0.9409,66002.2440762986,0.0021008599,0.0013870724
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,750,0.000017457,-0.00019072,1.4323,1.045,57283.6111588475,0.0020836409,0.0014547517
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,800,0.000020065,-0.00020303,1.3843,1.149,49838.026414154,0.0020543823,0.0014840586
117,10.1002/aenm.201400486,9,3(b),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,300,0.0000031871,,,0.10839,313764.8646104609,,
