sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,Lattice thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,350,76086,0.000088039,0.00059218,2.4533,1.8115,0.082353,0.000013143,0.000241381
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,400,74631,0.00009472,0.00068397,2.4599,1.7532,0.11969,0.0000133993,0.0002780479
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,450,73175,0.0001014,0.00077575,2.4665,1.6949,0.15703,0.0000136659,0.0003145145
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,500,71720,0.00010808,0.00086754,2.4731,1.6367,0.19438,0.0000139431,0.0003507905
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,550,70265,0.00011477,0.00095933,2.4797,1.5784,0.23172,0.0000142318,0.0003868734
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,600,68809,0.00012145,0.0010511,2.4863,1.5201,0.26906,0.000014533,0.0004227567
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,650,67354,0.00012813,0.0011429,2.4929,1.4619,0.3064,0.0000148469,0.000458462
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,700,65898,0.00013481,0.0012347,2.4995,1.4036,0.34374,0.000015175,0.0004939788
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,750,64443,0.00014149,0.0013265,2.5061,1.3453,0.38108,0.0000155176,0.0005293085
2429,10.1007/s11664-012-2253-9,2859,2,4104,Yb0.3FeCo3Sb12,Yb0.3FeCo3Sb12,800,62988,0.00014817,0.0014183,2.5127,1.2871,0.41842,0.000015876,0.0005644526
