sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
117,10.1002/aenm.201400486,94,3(a),101,Pb0.99825La0.00175Te1,Pb0.99825La0.00175Te1,800,,,47730,0.000020951,0.0018075,-0.0001946,1.3091,1.1913,0.0013807196
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,300,,,457540,0.0000021856,0.00078159,-0.000041331,5.3794,-0.075372,0.0001452932
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,350,,,361000,0.0000027701,0.0008472,-0.000048444,4.768,0.0088767,0.0001776846
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,400,,,305890,0.0000032692,0.00096655,-0.000056212,4.2713,0.093125,0.0002262894
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,450,,,265440,0.0000037673,0.0011156,-0.000064828,3.85,0.17737,0.0002897662
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,500,,,232130,0.000004308,0.0012742,-0.000074089,3.4784,0.26162,0.0003663178
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,550,,,203790,0.0000049071,0.0014241,-0.000083594,3.1416,0.34587,0.000453304
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,600,,,179650,0.0000055663,0.0015518,-0.00009294,2.8334,0.43012,0.0005476812
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,650,,,159080,0.0000062862,0.0016525,-0.00010192,2.5532,0.51437,0.000647227
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,700,,,141250,0.0000070797,0.0017316,-0.00011072,2.3035,0.59862,0.0007517256
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,750,,,125230,0.0000079853,0.0018066,-0.00012011,2.0876,0.68286,0.0008653957
117,10.1002/aenm.201400486,94,3(a),287,Pb0.99La0.01Te1,Pb0.99La0.01Te1,800,,,110130,0.0000090805,0.0019087,-0.00013165,1.9065,0.76711,0.0010011539
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,350,,,178270,0.0000056094,0.0022994,-0.00011357,2.7582,0.38836,0.0008336596
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,400,,,133530,0.0000074891,0.0023866,-0.00013369,2.3537,0.4666,0.001013978
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,450,,,105190,0.0000095064,0.0024345,-0.00015213,2.0563,0.54484,0.0011839226
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,500,,,85594,0.000011683,0.0024426,-0.00016893,1.8278,0.62307,0.0013363607
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,550,,,71109,0.000014063,0.0024012,-0.00018376,1.6455,0.70131,0.0014592525
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,600,,,59884,0.000016699,0.0023017,-0.00019605,1.4984,0.77955,0.0015361052
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,650,,,50945,0.000019629,0.0021466,-0.00020527,1.3838,0.85779,0.0015512357
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,700,,,43743,0.000022861,0.0019495,-0.00021111,1.3044,0.93602,0.0014945569
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,750,,,37948,0.000026352,0.0017335,-0.00021373,1.2643,1.0143,0.0013711145
117,10.1002/aenm.201400486,94,3(a),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,800,,,33339,0.000029995,0.0015255,-0.00021391,1.266,1.0925,0.0012049763
117,10.1002/aenm.201400486,4818,3(d),123,Pb0.9985La0.0015Te1,Pb0.9985La0.0015Te1,300,,,,,,,,0.31013,
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,350,,,234380,0.0000042666,0.0019929,-0.000092211,3.2995,0.21246,0.0006040006
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,400,,,181920,0.0000054969,0.0019878,-0.00010453,2.8272,0.31652,0.0007030985
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,450,,,146650,0.0000068191,0.002002,-0.00011684,2.487,0.42058,0.0008049859
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,500,,,121700,0.0000082166,0.0020299,-0.00012915,2.22,0.52465,0.0009143694
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,550,,,103040,0.0000097053,0.0020622,-0.00014147,1.9949,0.62871,0.001033736
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,600,,,88316,0.000011323,0.0020885,-0.00015378,1.8006,0.73277,0.0011598911
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,650,,,76214,0.000013121,0.0021024,-0.00016609,1.6385,0.83684,0.0012831248
