sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical conductivity,Power factor,Figure of merit Z
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,400,0.000019387,-0.00012891,1.0198,0.33621,3.0769e+26,51580.95631093,0.0008571614,0.0008405191
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,450,0.000021345,-0.00013684,0.95806,0.41205,3.2668e+26,46849.379245725,0.0008772633,0.0009156664
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,500,0.000023324,-0.00014477,0.91763,0.48962,3.4568e+26,42874.2925741725,0.0008985746,0.0009792341
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,550,0.000025447,-0.00015271,0.89659,0.40147,3.6467e+26,39297.3631469328,0.000916428,0.0010221261
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,600,0.000027762,-0.00016064,0.88893,0.42888,3.8367e+26,36020.4596210648,0.0009295155,0.0010456566
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,650,0.000030241,-0.00016858,0.88657,0.46204,4.0267e+26,33067.6895605304,0.0009397578,0.0010599928
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,700,0.000032782,-0.00017651,0.88158,0.51578,,30504.5451772314,0.0009503929,0.0010780563
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,750,0.000035204,-0.00018444,0.86829,0.59134,,28405.862970117,0.0009663139,0.001112893
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,800,0.000037247,-0.00019238,0.8454,0.6799,,26847.7998228045,0.0009936388,0.0011753475
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,850,0.000038573,-0.00020031,0.81816,0.76611,,25924.8697275296,0.001040212,0.0012714041
