sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,500,,,75228,-0.00012963,2.276,0.30126,,0.0000132929,0.0012641266,0.0005554159
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,550,,,67200,-0.00014349,2.132,0.36403,,0.000014881,0.0013836063,0.0006489711
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,600,,,59172,-0.00015734,1.9881,0.4268,,0.0000168999,0.0014648547,0.0007368114
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,650,,,51145,-0.0001712,1.8442,0.48957,,0.0000195523,0.0014990313,0.0008128355
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,700,,,43117,-0.00018505,1.7003,0.55233,,0.0000231927,0.0014764771,0.0008683627
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,750,,,35089,-0.00019891,1.5564,0.6151,,0.000028499,0.0013883029,0.0008919962
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,800,,,27061,-0.00021276,1.4125,0.67787,,0.0000369535,0.0012249654,0.0008672321
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,850,,,19034,-0.00022661,1.2685,0.74064,,0.0000525376,0.0009774357,0.0007705445
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,900,,,11006,-0.00024047,,0.8034,,0.0000908595,0.000636431,
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,350,,,118580,-0.000074343,2.7219,0.09837,,0.0000084331,0.0006553776,0.0002407795
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,400,,,108610,-0.000088331,2.5789,0.1597,,0.0000092073,0.0008474149,0.0003285955
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,450,,,98648,-0.00010232,2.4359,0.22103,,0.0000101371,0.0010327836,0.0004239844
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,500,,,88683,-0.00011631,2.293,0.28236,,0.0000112761,0.0011997051,0.0005232032
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,550,,,78718,-0.00013029,2.15,0.34369,,0.0000127036,0.0013362762,0.0006215238
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,600,,,68752,-0.00014428,2.007,0.40502,,0.000014545,0.001431191,0.0007130997
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,650,,,58787,-0.00015827,1.864,0.46635,,0.0000170106,0.0014725787,0.00079001
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,700,,,48822,-0.00017226,1.721,0.52768,,0.0000204826,0.00144872,0.0008417897
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,750,,,38857,-0.00018625,1.5781,0.58901,,0.0000257354,0.0013479129,0.0008541366
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,800,,,28891,-0.00020023,1.4351,0.65034,,0.0000346129,0.0011582995,0.0008071211
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,850,,,18926,-0.00021422,1.2921,0.71168,,0.0000528374,0.0008685181,0.0006721756
18596,10.1002/aenm.201700099,25444,2a,31679,Pb1−xBixTe. x=1.0%,Pb0.99Bi0.01Te,900,,,8960.9,,,0.77301,,0.0001115959,,
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,350,,,141990,-0.000068804,2.7694,0.08406,,0.0000070427,0.0006721793,0.0002427166
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,400,,,130180,-0.000081875,2.6306,0.14675,,0.0000076817,0.0008726637,0.0003317356
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,450,,,118360,-0.000094947,2.4917,0.20944,,0.0000084488,0.0010670074,0.0004282247
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,500,,,106550,-0.00010802,2.3529,0.27213,,0.0000093853,0.0012432595,0.0005283946
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,550,,,94742,-0.00012109,2.214,0.33481,,0.000010555,0.0013891819,0.0006274534
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,600,,,82930,-0.00013416,2.0752,0.3975,,0.0000120584,0.0014926492,0.0007192797
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,650,,,71118,-0.00014723,1.9363,0.46019,,0.0000140611,0.0015416016,0.0007961585
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,700,,,59307,-0.0001603,1.7975,0.52288,,0.0000168614,0.001523958,0.0008478209
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,750,,,47495,-0.00017337,1.6586,0.58557,,0.0000210548,0.0014275647,0.0008607046
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,800,,,35684,-0.00018645,1.5198,0.64826,,0.0000280238,0.0012405044,0.0008162287
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,850,,,23872,-0.00019952,1.381,0.71095,,0.0000418901,0.0009503021,0.0006881261
18596,10.1002/aenm.201700099,25444,2a,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,900,,,12060,-0.00021259,1.2421,0.77363,,0.0000829187,0.0005450458,0.0004388099
18596,10.1002/aenm.201700099,25445,2b,31680,Pb1−xBixTe_ x= 1.25%,Pb0.9875Bi0.0125Te,300,,,,-0.000055732,,,,,,
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,350,,,169820,-0.000051558,2.7642,0.031857,,0.0000058886,0.0004514202,0.0001633095
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,400,,,154810,-0.000064668,2.6246,0.093069,,0.0000064595,0.0006474077,0.0002466691
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,450,,,139790,-0.000077777,2.485,0.15428,,0.0000071536,0.0008456263,0.0003402923
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,500,,,124780,-0.000090886,2.3455,0.21549,,0.0000080141,0.0010307159,0.000439444
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,550,,,109770,-0.000104,2.2059,0.2767,,0.00000911,0.0011872723,0.0005382258
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,600,,,94755,-0.00011711,2.0664,0.33792,,0.0000105535,0.0012995413,0.0006288915
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,650,,,79742,-0.00013021,1.9268,0.39913,,0.0000125404,0.0013519972,0.0007016801
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,700,,,64728,-0.00014332,1.7872,0.46034,,0.0000154493,0.0013295534,0.000743931
