sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27926,10.1039/c8ee00418h,25419,2a,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,600,1.5208e+25,0.019706,78795,0.54003,-0.00017642,1.3233,1.0338,0.0000126912,0.0024524169,0.0018532584
27926,10.1039/c8ee00418h,25419,2a,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,650,1.5397e+25,0.013791,64169,0.48455,-0.00018762,1.2052,1.1529,0.0000155838,0.0022588299,0.0018742366
27926,10.1039/c8ee00418h,25419,2a,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,700,1.5587e+25,0.0078758,49544,0.42907,-0.00019881,1.0871,1.272,0.0000201841,0.0019582472,0.0018013497
27926,10.1039/c8ee00418h,25419,2a,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,750,,,34918,0.37359,-0.00021001,0.96905,1.3911,0.0000286385,0.0015400305,0.0015892167
27926,10.1039/c8ee00418h,25419,2a,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,800,,,20293,0.3181,-0.00022121,0.85097,1.5102,0.0000492781,0.0009930149,0.0011669212
27926,10.1039/c8ee00418h,25422,3b,31646, PbCuxSe_ x= 0.0025, PbCu0.0025Se,300,,0.055198,,,,,,,,
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,350,,,153310,0.60825,-0.00012199,1.7305,0.48035,0.0000065227,0.002281492,0.0013184005
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,400,,,139290,0.56612,-0.00013168,1.6323,0.60487,0.0000071793,0.002415236,0.001479652
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,450,,,125280,0.52398,-0.00014137,1.5341,0.72939,0.0000079821,0.0025037805,0.0016320843
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,500,,,111270,0.48185,-0.00015106,1.436,0.85391,0.0000089871,0.0025390839,0.0017681643
