sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,300,0.0000047622,-0.00010789,3.5297,0.33181,209986.9808071899,0.0024443014,0.0006924955
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,350,0.0000051594,-0.00012147,,0.4124,193820.9869364655,0.0028598211,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,400,0.0000055566,-0.00013506,,0.49299,179966.1663607242,0.0032827995,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,450,0.0000059538,-0.00014865,,0.57359,167959.9583459304,0.0037113814,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,500,0.000006351,-0.00016223,,0.65418,157455.5188159345,0.0041440046,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,550,0.0000067482,-0.00017582,,0.73478,148187.6648587772,0.0045808767,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,600,0.0000071454,-0.00018941,,0.81537,139950.1777367257,0.0050208733,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,650,0.0000075427,-0.00020299,,0.89597,132578.5196282498,0.00546289,
6657,10.1063/1.1433911,3710,1(a),4942,Eu0.42Co4Sb11.37Ge0.5,Eu0.42Co4Sb11.37Ge0.5,700,0.0000079399,-0.00021658,,0.97656,125946.1706066827,0.005907744,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,50,,,4.041,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,100,,,3.9724,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,150,,,3.9039,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,200,,,3.8353,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,250,,,3.7668,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,300,,,3.6982,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,350,,,3.6296,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,400,,,3.5611,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,450,,,3.4925,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,500,,,3.424,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,550,,,3.3554,,,,
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,600,,,3.2868,,,,
