sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,400,3.1695e+25,36142,0.0079782,0.001714,-0.00021824,0.97633,0.76511,0.0000276686,0.001755554
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,450,3.2168e+25,34280,0.0072711,0.0017624,-0.00022964,0.94876,0.91461,0.0000291715,0.0018575825
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,500,3.2641e+25,32419,0.006564,0.0018108,-0.00024105,0.92119,1.0641,0.0000308461,0.0019657183
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,550,3.3115e+25,30557,0.0058568,0.0018592,-0.00025245,0.89363,1.2136,0.0000327257,0.0020805031
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,600,3.3588e+25,28696,0.0051497,0.0019076,-0.00026386,0.86606,1.3631,0.0000348481,0.0022026188
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,650,3.4061e+25,26835,0.0044426,0.001956,-0.00027526,0.83849,1.5126,0.0000372648,0.0023327649
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,700,3.4534e+25,24973,0.0037354,0.0020044,-0.00028667,0.81092,1.6621,0.0000400432,0.0024717605
21294,10.1073/pnas.1711725114,19696,F1(A),24311,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,Mg3.1Co0.1Sb1.5Bi0.49Te0.01,750,3.5008e+25,23112,0.0030283,0.0020528,-0.00029808,0.78335,1.8116,0.0000432676,0.00262054
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,350,3.4467e+25,42084,0.0080551,0.0017974,-0.0002053,1.0617,0.615,0.000023762,0.0016929453
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,400,3.5897e+25,40146,0.0074257,0.0018264,-0.00021419,1.0368,0.74445,0.0000249091,0.0017615741
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,450,3.7327e+25,38208,0.0067963,0.0018554,-0.00022308,1.0118,0.87389,0.0000261725,0.0018337616
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,500,3.8757e+25,36269,0.0061669,0.0018844,-0.00023197,0.98684,1.0033,0.0000275718,0.0019095294
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,550,4.0187e+25,34331,0.0055374,0.0019134,-0.00024086,0.96188,1.1328,0.0000291282,0.0019892294
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,600,4.1616e+25,32392,0.004908,0.0019424,-0.00024975,0.93692,1.2622,0.0000308718,0.0020731759
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,650,4.3046e+25,30454,0.0042786,0.0019714,-0.00025863,0.91196,1.3917,0.0000328364,0.0021617176
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,700,4.4476e+25,28515,0.0036492,0.0020004,-0.00026752,0.88701,1.5211,0.0000350693,0.002255217
21294,10.1073/pnas.1711725114,19696,F1(A),24312,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,Mg3.1Hf0.1Sb1.5Bi0.49Te0.01,750,,26577,0.0030198,0.0020295,-0.00027641,0.86205,1.6506,0.0000376265,0.0023542718
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,350,4.388e+25,35916,0.0070304,0.0016286,-0.000208,1.0747,0.55951,0.0000278427,0.0015153996
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,400,4.4855e+25,34561,0.00653,0.0016748,-0.00021775,1.0485,0.6902,0.0000289343,0.0015973295
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,450,4.583e+25,33207,0.0060297,0.0017209,-0.0002275,1.0222,0.82089,0.0000301141,0.0016835257
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,500,4.6805e+25,31853,0.0055293,0.001767,-0.00023726,0.99598,0.95157,0.0000313942,0.001774132
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,550,4.7781e+25,30499,0.0050289,0.0018132,-0.00024701,0.96974,1.0823,0.000032788,0.0018697795
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,600,4.8756e+25,29145,0.0045285,0.0018593,-0.00025676,0.9435,1.213,0.0000343112,0.0019706412
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,650,4.9731e+25,27790,0.0040281,0.0019055,-0.00026652,0.91726,1.3436,0.0000359842,0.0020773826
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,700,5.0706e+25,26436,0.0035277,0.0019516,-0.00027627,0.89102,1.4743,0.0000378272,0.0021902988
21294,10.1073/pnas.1711725114,19696,F1(A),24313,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,Mg3.1Ta0.1Sb1.5Bi0.49Te0.01,750,5.1682e+25,25082,0.0030273,0.0019977,-0.00028602,0.86478,1.605,0.0000398692,0.0023100673
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,350,,21865,,0.00099307,-0.0002076,1.0047,0.35734,0.0000457352,0.0009884244
