sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,400,1.1565e+27,0.0043933,0.000012726,0.57968,0.000066962,1.2714,0.11777,78579.2865000786,0.0003523424,0.0002771295
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,450,1.1877e+27,0.0040366,0.000014293,0.54578,0.000075235,1.2268,0.16972,69964.3181977192,0.0003960194,0.0003228068
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,500,1.2188e+27,0.00368,0.00001586,0.51189,0.000083508,1.1823,0.22168,63051.7023959647,0.0004396965,0.0003718992
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,550,1.2499e+27,0.0033233,0.000017427,0.478,0.00009178,1.1378,0.27363,57382.2229873185,0.0004833631,0.0004248225
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,600,1.2811e+27,0.0029667,0.000018993,0.4441,0.00010005,1.0933,0.32558,52650.9766756173,0.0005270364,0.0004820602
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,650,1.3122e+27,0.00261,0.00002056,0.41021,0.00010833,1.0488,0.37753,48638.1322957198,0.0005707874,0.000544229
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,700,1.3434e+27,0.0022534,0.000022127,0.37631,0.0001166,1.0043,0.42948,45193.6548108646,0.000614433,0.0006118023
27912,10.1002/adfm.201606361,25072,2(a),31214,Ca 9 Zn 4+x Sb 9_ x=0.3,Ca9Zn4.3Sb9,750,1.3745e+27,0.0018967,0.000023694,0.34242,0.00012487,0.95978,0.48143,42204.7775808221,0.0006580787,0.0006856558
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,350,6.3552e+26,0.0039083,0.000025153,0.79836,0.00010636,1.0664,0.13595,39756.6890629348,0.0004497455,0.0004217419
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,400,6.648e+26,0.0036531,0.000026661,0.76294,0.00011411,1.0398,0.19311,37507.9704437193,0.0004883947,0.0004697007
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,450,6.9409e+26,0.003398,0.000028169,0.72752,0.00012186,1.0133,0.25027,35500.0177500089,0.0005271703,0.0005202509
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,500,7.2337e+26,0.0031428,0.000029676,0.69209,0.00012962,0.98678,0.30742,33697.2637821809,0.0005661593,0.0005737442
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,550,7.5265e+26,0.0028877,0.000031184,0.65667,0.00013737,0.96025,0.36458,32067.7270395074,0.0006051346,0.0006301844
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,600,7.8193e+26,0.0026326,0.000032692,0.62125,0.00014512,0.93372,0.42174,30588.5231861006,0.0006441886,0.0006899163
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,650,8.1121e+26,0.0023774,0.000034199,0.58583,0.00015287,0.90719,0.47889,29240.6210707915,0.000683331,0.0007532391
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,700,8.405e+26,0.0021223,0.000035707,0.5504,0.00016063,0.88066,0.53605,28005.7131654858,0.0007226033,0.0008205247
27912,10.1002/adfm.201606361,25072,2(a),31215,Ca 9 Zn 4+x Sb 9_ x=0.4,Ca9Zn4.4Sb9,750,8.6978e+26,0.0018671,0.000037215,0.51498,0.00016838,0.85413,0.59321,26870.8853956738,0.0007618386,0.0008919469
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,350,5.6868e+26,0.0044645,0.000025124,0.63319,0.00010533,0.90782,0.15614,39802.5792071326,0.0004415861,0.0004864247
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,400,6.0339e+26,0.0041284,0.000026655,0.59873,0.00011284,0.88022,0.22582,37516.413430876,0.0004776915,0.0005426955
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,450,6.3809e+26,0.0037924,0.000028186,0.56427,0.00012035,0.85262,0.2955,35478.6064003406,0.0005138765,0.0006027028
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,500,6.728e+26,0.0034563,0.000029717,0.52981,0.00012787,0.82503,0.36518,33650.7722852239,0.0005502149,0.0006669029
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,550,7.075e+26,0.0031202,0.000031248,0.49535,0.00013538,0.79743,0.43486,32002.0481310804,0.0005865254,0.0007355196
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,600,7.4221e+26,0.0027841,0.000032779,0.46089,0.0001429,0.76984,0.50454,30507.337014552,0.0006229723,0.0008092231
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,650,7.7691e+26,0.002448,0.000034309,0.42643,0.00015041,0.74224,0.57423,29146.8710833892,0.0006593946,0.0008883846
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,700,8.1162e+26,0.0021119,0.00003584,0.39197,0.00015792,0.71465,0.64391,27901.7857142857,0.000695835,0.0009736724
27912,10.1002/adfm.201606361,25072,2(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,750,8.4632e+26,0.0017759,0.000037371,0.35751,0.00016544,0.68705,0.71359,26758.7166519494,0.0007323966,0.0010660019
27912,10.1002/adfm.201606361,25078,6(a),31216,Ca 9 Zn 4+x Sb 9_ x=0.5,Ca9Zn4.5Sb9,300,,,,,,,0.086455,,,
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,350,2.3009e+26,0.0027412,0.000094187,0.55564,0.00019686,0.60801,0.20582,10617.1764680901,0.0004114566,0.0006767266
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,400,2.4761e+26,0.0025772,0.0000981,0.53381,0.00020556,0.59127,0.29227,10193.6799184506,0.0004307331,0.0007284879
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,450,2.6512e+26,0.0024133,0.00010201,0.51198,0.00021427,0.57453,0.37873,9802.9604940692,0.0004500699,0.0007833706
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,500,2.8263e+26,0.0022493,0.00010592,0.49014,0.00022298,0.55779,0.46519,9441.0876132931,0.0004694116,0.0008415562
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,550,3.0015e+26,0.0020854,0.00010984,0.46831,0.00023169,0.54105,0.55165,9104.1514930808,0.0004887132,0.0009032681
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,600,3.1766e+26,0.0019215,0.00011375,0.44648,0.00024039,0.52431,0.63811,8791.2087912088,0.0005080207,0.0009689319
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,650,3.3517e+26,0.0017575,0.00011766,0.42464,0.0002491,0.50757,0.72457,8499.0651028387,0.0005273739,0.001039017
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,700,3.5269e+26,0.0015936,0.00012158,0.40281,0.00025781,0.49083,0.81103,8225.0370126666,0.0005466853,0.0011137976
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,750,3.702e+26,0.0014296,0.00012549,0.38098,0.00026652,0.47408,0.89749,7968.7624511913,0.0005660444,0.001193985
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,800,3.8771e+26,0.0012657,0.0001294,0.35915,0.00027522,0.45734,0.98395,7727.9752704791,0.0005853636,0.0012799309
27912,10.1002/adfm.201606361,25072,2(a),31217,Ca 9 Zn 4+x Sb 9_ x=0.6,Ca9Zn4.6Sb9,850,4.0522e+26,0.0011018,0.00013331,0.33731,0.00028393,0.4406,1.0704,7501.3127297277,0.0006047277,0.0013725095
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,350,6.4553e+25,0.0028767,0.00028846,0.60846,0.00024498,0.61994,0.08782,3466.6851556542,0.0002080538,0.0003356031
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,400,7.4518e+25,0.0027117,0.00028591,0.58562,0.00025316,0.6018,0.13755,3497.6041411633,0.0002241614,0.0003724849
