sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,300,55743,,,1.7482,,0.0000179395,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,350,52227,0.0013556,0.00016111,1.653,0.295,0.0000191472,0.0008200847
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,400,48710,0.0014348,0.00017163,1.5578,0.39173,0.0000205297,0.0009210425
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,450,45193,0.0014994,0.00018215,1.4625,0.48845,0.0000221273,0.0010252308
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,500,41676,0.0015469,0.00019266,1.3673,0.58517,0.0000239946,0.0011313538
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,550,38159,0.0015753,0.00020318,1.272,0.68189,0.0000262061,0.0012384434
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,600,34642,0.001582,0.0002137,1.1768,0.77862,0.0000288667,0.0013443236
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31233,Eu(Zn1–xCdx)2Sb2_ x=0.3,Eu(Zn0.7Cd0.3)2Sb2,650,31126,,,,,0.0000321275,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,300,31836,0.00099604,0.00017688,,,0.000031411,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,350,29882,0.0010567,0.00018805,1.4327,0.24387,0.000033465,0.0007375585
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,400,27928,0.0011083,0.00019921,1.3506,0.33246,0.0000358064,0.0008205983
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,450,25974,0.0011496,0.00021038,1.2685,0.42105,0.0000385,0.0009062672
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,500,24020,0.001179,0.00022155,1.1864,0.50964,0.000041632,0.0009937626
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,550,22065,0.001195,0.00023272,1.1044,0.59823,0.0000453206,0.0010820355
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,600,20111,0.0011962,0.00024388,1.0223,0.68682,0.000049724,0.0011701066
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31234,Eu(Zn1–xCdx)2Sb2_ x=0.5,Eu(Zn0.5Cd0.5)2Sb2,650,18157,,,0.94018,0.77541,0.0000550752,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,300,10677,0.00063431,0.00024374,1.3022,0.090153,0.0000936593,0.0004871064
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,350,10253,0.00065271,0.00025231,1.2119,0.16833,0.0000975324,0.000538584
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,400,9827.9,0.00066882,0.00026087,1.1216,0.2465,0.0001017511,0.0005963088
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,450,9403.2,0.00068265,0.00026944,1.0313,0.32467,0.0001063468,0.0006619315
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,500,8978.5,0.00069389,0.000278,0.94106,0.40285,0.0001113772,0.0007373494
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,550,8553.8,0.00070246,0.00028657,0.85078,0.48102,0.0001169071,0.0008256659
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,600,8129.1,0.00070806,0.00029513,0.7605,0.55919,0.0001230148,0.0009310454
24838,10.1016/s1002-0721(12)60398-6,25088,4d,31235,Eu(Zn1–xCdx)2Sb2_ x=1.0,EuCd2Sb2,650,,,,,0.63736,,
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,350,185560,0.0005465,0.000054269,2.5484,0.11715,0.0000053891,0.0002144483
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,400,175300,0.00077385,0.000066441,2.3783,0.19939,0.0000057045,0.0003253795
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,450,165030,0.0010199,0.000078613,2.2081,0.28163,0.0000060595,0.0004618903
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,500,154770,0.0012756,0.000090785,2.0379,0.36387,0.0000064612,0.0006259385
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,550,144510,0.0015319,0.00010296,1.8678,0.44611,0.0000069199,0.0008201628
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,600,134250,0.0017795,0.00011513,,0.52835,0.0000074488,
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,650,123980,,,,,0.0000080658,
24838,10.1016/s1002-0721(12)60398-6,25090,5b,31236,Yb(Zn1–xCdx)2Sb2_ x=0.2,Yb(Zn0.8xCd0.2)2Sb2,300,,,0.000042097,2.7186,0.034912,,
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31237,Yb(Zn1–xCdx)2Sb2_ x=0.4,Yb(Zn0.6xCd0.4)2Sb2 ,300,147780,0.00034484,0.000048306,2.0738,0.049885,0.0000067668,0.0001662841
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31237,Yb(Zn1–xCdx)2Sb2_ x=0.4,Yb(Zn0.6xCd0.4)2Sb2 ,350,138630,0.00054705,0.000062818,1.9392,0.14284,0.0000072134,0.0002821009
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31237,Yb(Zn1–xCdx)2Sb2_ x=0.4,Yb(Zn0.6xCd0.4)2Sb2 ,400,129490,0.00077432,0.000077329,1.8046,0.23743,0.0000077226,0.0004290812
24838,10.1016/s1002-0721(12)60398-6,25089,5a,31237,Yb(Zn1–xCdx)2Sb2_ x=0.4,Yb(Zn0.6xCd0.4)2Sb2 ,450,120340,0.001015,0.000091841,1.67,0.33201,0.0000083098,0.0006077844
