sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
16681,10.1073/pnas.1111419109,25545,3b,31800,Br-PbSe_ 2E19,Br-PbSe,750,,,0.000034348,-0.00021767,1.1101,0.91902,29113.7766391056,0.0013794174,0.0012426064
16681,10.1073/pnas.1111419109,25545,3b,31800,Br-PbSe_ 2E19,Br-PbSe,800,,,0.000038586,-0.00023161,0.97296,0.99009,25916.1353858913,0.0013902242,0.0014288606
16681,10.1073/pnas.1111419109,25545,3b,31800,Br-PbSe_ 2E19,Br-PbSe,850,,,0.000042825,,,1.0612,23350.8464681845,,
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,300,,,-0.0000014732,,,,-678794.461037198,,
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,350,,,8.584e-7,-0.000070704,2.7274,0.16251,1164890.2090977926,0.0058233509,0.002135129
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,400,,,0.0000031901,-0.000087396,2.5437,0.26251,313469.7971850412,0.0023943014,0.0009412672
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,450,,,0.0000055218,-0.00010341,2.36,0.36251,181100.365822739,0.00193662,0.0008206017
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,500,,,0.0000078535,-0.00011873,2.1762,0.46251,127331.7629082575,0.001794972,0.0008248194
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,550,,,0.000010185,-0.00013337,1.9925,0.56251,98183.6033382425,0.0017464464,0.0008765101
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,600,,,0.000012517,-0.00014734,1.8087,0.66251,79891.3477670368,0.0017343673,0.0009589027
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,650,,,0.000014849,-0.00016061,1.625,0.76251,67344.6023301232,0.0017371925,0.0010690416
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,700,,,0.00001718,-0.00017321,1.4413,0.86251,58207.2176949942,0.0017463157,0.0012116254
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,750,,,0.000019512,-0.00018512,1.2575,0.96251,51250.5125051251,0.0017563251,0.00139668
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,800,,,0.000021844,-0.00019635,1.0738,1.0625,45779.1613257645,0.0017649388,0.0016436383
16681,10.1073/pnas.1111419109,25545,3b,31801,Br-PbSe_ 3E19,Br-PbSe,850,,,0.000024175,-0.0002069,0.89007,1.1625,41365.0465356773,0.0017707388,0.0019894377
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,350,,,0.000003508,-0.000069428,3.05,0.15722,285062.7137970353,0.0013740727,0.0004505157
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,400,,,0.0000042111,-0.000082095,2.8387,0.24785,237467.6450333642,0.0016004343,0.0005637913
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,450,,,0.0000052265,-0.000094762,2.6274,0.33848,191332.6317803501,0.0017181358,0.00065393
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,500,,,0.0000065543,-0.00010743,2.4161,0.42911,152571.594220588,0.00176086,0.0007288026
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,550,,,0.0000081945,-0.0001201,2.2048,0.51974,122033.0709622308,0.0017602062,0.0007983519
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,600,,,0.000010147,-0.00013276,1.9934,0.61036,98551.2959495417,0.001736988,0.0008713695
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,650,,,0.000012412,-0.00014543,1.7821,0.70099,80567.1930389945,0.0017039869,0.0009561679
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,700,,,0.000014989,-0.0001581,1.5708,0.79162,66715.5914337181,0.0016675969,0.0010616227
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,750,,,0.000017879,-0.00017076,1.3595,0.88225,55931.5397952906,0.0016309065,0.001199637
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,800,,,0.000021081,-0.00018343,1.1482,0.97288,47436.0798823585,0.0015960611,0.001390055
16681,10.1073/pnas.1111419109,25545,3b,31802,Br-PbSe_ 4E19,Br-PbSe,850,,,0.000024596,,,1.0635,40657.0174012034,,
16681,10.1073/pnas.1111419109,25547,4a,31802,Br-PbSe_ 4E19,Br-PbSe,300,,,,,,0.066594,,,
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,350,,,0.0000018903,-0.000059279,3.2345,0.10644,529016.5582182723,0.0018589641,0.00057473
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,400,,,0.0000034816,-0.000070742,3.0133,0.1888,287224.2647058823,0.0014373939,0.0004770165
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,450,,,0.000005073,-0.000082205,2.7921,0.27117,197122.0185294697,0.001332084,0.0004770904
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,500,,,0.0000066643,-0.000093669,2.571,0.35354,150053.2689104632,0.0013165496,0.0005120769
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,550,,,0.0000082556,-0.00010513,2.3498,0.4359,121129.8997044431,0.001338766,0.0005697362
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,600,,,0.000009847,-0.00011659,2.1286,0.51827,101553.7727226566,0.0013804436,0.0006485218
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,650,,,0.000011438,-0.00012806,1.9074,0.60063,87427.8720055954,0.0014337615,0.0007516837
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,700,,,0.00001303,-0.00013952,1.6862,0.683,76745.9708365311,0.0014939241,0.0008859709
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,750,,,0.000014621,-0.00015098,1.465,0.76537,68394.7746392176,0.0015590562,0.0010642022
16681,10.1073/pnas.1111419109,25545,3b,31803,Br-PbSe_ 5E19,Br-PbSe,800,,,0.000016212,-0.00016245,1.2438,0.84773,61682.7041697508,0.0016278067,0.0013087367
16681,10.1073/pnas.1111419109,25546,3c,31803,Br-PbSe_ 5E19,Br-PbSe,850,,,,-0.00017391,1.0227,0.9301,,,
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,300,,,0.0000021269,,,,470167.8499224223,,
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,350,,,0.0000024365,-0.00004508,3.6664,0.065055,410424.7896572953,0.0008340679,0.0002274896
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,400,,,0.0000029363,-0.000056126,3.4178,0.14243,340564.6561999795,0.0010728222,0.0003138926
