sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,450,0.0000050186,,0.7687,0.0023154,0.00010516,2.5953,0.48987,199258.7574223887,0.0008921512
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,500,0.0000053817,,0.74049,0.002602,0.00011666,2.5357,0.62089,185814.8912053812,0.0010261466
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,550,0.0000057448,,0.71228,0.0028886,0.00012817,2.476,0.75191,174070.4637237154,0.0011666397
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,600,0.0000061079,,0.68407,0.0031752,0.00013968,2.4163,0.88292,163722.3923115965,0.0013140752
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,650,0.000006471,,0.65586,0.0034618,0.00015119,2.3567,1.0139,154535.6204605161,0.0014689184
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,700,0.0000068341,,0.62765,0.0037484,0.0001627,2.297,1.145,146325.0464582022,0.0016318677
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,750,0.0000071972,,0.59945,0.004035,0.00017421,2.2374,1.276,138942.9222475407,0.0018034326
4605,10.1039/c4cp01294a,25686,2(a),32004,(In2Te3)x(GeTe)3-3x_ x=0.05,(In2Te3)0.05(GeTe)2.85,800,0.0000075603,,0.57124,0.0043216,0.00018572,2.1777,1.407,132269.8834702327,0.001984479
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,50,0.0000068439,0.0012959,,0.00011213,0.000032243,,,146115.5189292655,
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,100,0.0000071489,0.0013284,,0.00032621,0.000042888,,,139881.6601155422,
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,150,0.0000074342,0.001361,,0.00054029,0.000053534,,,134513.4647978263,
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,200,0.0000076999,0.0013936,,0.00075438,0.000064179,,,129871.8165170976,
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,250,0.0000079459,0.0014261,,0.00096846,0.000074825,,,125851.0678463107,
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,300,0.0000081724,,,0.0011825,0.00008547,,,122363.0757182713,
