sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,300,33393,0.001241,0.00019543,,0.037809,0.0000299464,
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,350,31241,0.0016713,0.00023223,8.0158,0.071204,0.0000320092,0.0002085007
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,400,28233,0.0018006,0.00025252,6.822,0.10354,0.0000354195,0.0002639402
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,450,26152,0.001776,0.00025873,5.8623,0.13568,0.000038238,0.0003029528
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,500,25628,0.001675,0.00025317,5.1288,0.16379,0.0000390198,0.0003265871
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,550,26483,0.0015263,0.00023803,4.6055,0.18177,0.0000377601,0.0003314081
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,600,28076,0.0013308,0.00021544,4.2689,0.18371,0.0000356176,0.0003117431
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,650,29649,0.0010827,0.00018746,4.0904,0.16632,0.000033728,0.0002646929
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,700,30664,0.00079032,0.00015615,4.0371,0.13131,0.0000326115,0.0001957643
286,10.1063/1.2397538,2244,2(a),3356,0.00,K0Co4Sb12,750,31159,0.00049692,0.00012355,4.0739,0.087882,0.0000320935,0.0001219765
286,10.1063/1.2397538,2246,2(b)_right,3356,0.00,K0Co4Sb12,800,,0.00030199,0.000091759,4.1644,0.055115,,0.000072517
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,300,62566,,,,0.13956,0.0000159831,
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,350,53958,0.0028882,-0.00022814,5.5956,0.17876,0.0000185329,0.0005161556
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,400,47035,0.0028334,-0.00024308,5.0173,0.22455,0.0000212608,0.000564726
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,450,41719,0.0027311,-0.00025378,4.5449,0.27061,0.0000239699,0.0006009153
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,500,37909,0.0026069,-0.00025982,4.1733,0.31243,0.000026379,0.0006246615
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,550,35478,0.0024729,-0.00026099,3.901,0.3467,0.0000281865,0.0006339144
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,600,34279,0.0023306,-0.00025722,3.7272,0.3707,0.0000291724,0.0006252951
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,650,34140,0.0021725,-0.00024851,3.6486,0.38166,0.0000292912,0.0005954339
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,700,34871,0.0019845,-0.00023477,3.6561,0.37616,0.0000286771,0.0005427915
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,750,36260,0.0017478,-0.00021581,3.7321,0.3495,0.0000275786,0.0004683154
286,10.1063/1.2397538,2244,2(a),3357,0.09,K0.09Co4Sb12,800,38076,,,3.8471,,0.0000262633,
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,300,157360,0.0020913,-0.00011348,5.9065,0.10716,0.0000063549,0.0003540676
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,350,119680,0.0019969,-0.0001294,5.4248,0.1298,0.0000083556,0.0003681057
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,400,96673,0.0019623,-0.00014221,4.9831,0.15716,0.0000103441,0.000393791
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,450,83516,0.0019796,-0.00015275,4.6001,0.19353,0.0000119738,0.0004303385
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,500,76350,0.0020292,-0.00016146,4.2865,0.23765,0.0000130976,0.0004733932
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,550,72265,0.0020861,-0.00016848,4.0462,0.28473,0.000013838,0.0005155702
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,600,69303,0.0021259,-0.00017376,3.8783,0.32859,0.0000144294,0.0005481525
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,650,66458,0.002131,-0.00017713,3.7783,0.36361,0.0000150471,0.0005640103
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,700,63673,0.002097,-0.00017847,3.7403,0.38687,0.0000157052,0.0005606502
286,10.1063/1.2397538,2244,2(a),3358,0.22,K0.22Co4Sb12,750,61836,0.0020388,-0.00017778,3.7584,0.40015,0.0000161718,0.0005424649
286,10.1063/1.2397538,2247,2(c),3358,0.22,K0.22Co4Sb12,800,,0.0019964,,,0.412,,
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,300,258380,0.0033042,-0.00011316,,0.18159,0.0000038703,
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,350,230920,0.0036384,-0.00012599,5.0333,0.25505,0.0000043305,0.0007228657
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,400,205490,0.0038663,-0.00013765,4.6689,0.33261,0.0000048664,0.0008280966
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,450,183120,0.0040192,-0.0001481,4.3471,0.41536,0.0000054609,0.0009245704
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,500,164340,0.0041215,-0.00015745,4.0777,0.50263,0.0000060849,0.0010107413
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,550,149230,0.0041925,-0.00016585,3.8652,0.59252,0.0000067011,0.0010846787
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,600,137570,0.0042465,-0.00017344,3.7104,0.68236,0.000007269,0.0011444858
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,650,128920,0.0042937,-0.00018028,3.611,0.76926,0.0000077567,0.0011890612
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,700,122700,0.0043413,-0.00018632,3.5625,0.85061,0.00000815,0.0012186105
286,10.1063/1.2397538,2244,2(a),3359,0.38,K0.38Co4Sb12,750,118380,0.0043937,-0.0001913,3.5593,0.92457,0.0000084474,0.0012344281
286,10.1063/1.2397538,2245,2(b)_left,3359,0.38,K0.38Co4Sb12,800,,,-0.00019467,,,,
286,10.1063/1.2397538,2244,2(a),3360,0.45,K0.45Co4Sb12,300,258480,0.0029265,-0.00010329,,,0.0000038688,
286,10.1063/1.2397538,2244,2(a),3360,0.45,K0.45Co4Sb12,350,231340,0.0032078,-0.00011586,5.0024,0.22444,0.0000043226,0.0006412522
286,10.1063/1.2397538,2244,2(a),3360,0.45,K0.45Co4Sb12,400,204870,0.0034032,-0.00012726,4.6179,0.29478,0.0000048811,0.0007369584
286,10.1063/1.2397538,2244,2(a),3360,0.45,K0.45Co4Sb12,450,181620,0.0035376,-0.0001371,4.2912,0.37097,0.000005506,0.0008243848
