sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,650,,0.000005888,,,0.00016937,2.4492,1.3115,169836.9565217391,0.0048719764,0.0019892113
27942,10.1039/c9ee00317g,25662,2(a),31978,Ge1+xTe_ x=0.02,undefined,700,,0.0000064592,,,0.00018475,2.0736,1.5044,154817.9341094873,0.0052843328,0.0025483858
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,350,,0.0000026397,,2.0106,0.000081599,4.7222,0.16282,378830.9277569421,0.0025224066,0.0005341592
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,400,,0.0000031978,,1.7675,0.000096901,4.3518,0.35547,312714.9915566952,0.0029363324,0.0006747397
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,450,,0.0000037558,,1.5244,0.0001122,3.9814,0.54812,266254.8591511795,0.0033518398,0.0008418747
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,500,,0.0000043139,,1.2813,0.00012751,3.611,0.74077,231808.8040983797,0.003768933,0.0010437366
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,550,,0.000004872,,1.0382,0.00014281,3.2406,0.93341,205254.5155993432,0.0041861035,0.001291768
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,600,,0.00000543,,0.79509,0.00015811,2.8703,1.1261,184162.0626151013,0.0046038254,0.0016039527
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,650,,0.0000059881,,,0.00017341,2.4999,1.3187,166997.8791269351,0.0050217979,0.0020087995
27942,10.1039/c9ee00317g,25662,2(a),31979,Ge1+xTe_ x=0.03,undefined,700,,0.0000065462,,,0.00018871,2.1295,1.5114,152760.3800678256,0.0054400208,0.0025546
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,350,,0.0000020696,,2.0246,0.000083793,4.7783,0.17731,483185.1565519907,0.0033925719,0.0007099956
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,400,,0.0000025727,,1.7701,0.0000981,4.393,0.36131,388696.6999650173,0.0037406654,0.0008515059
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,450,,0.0000035137,,1.5157,0.00011241,4.0076,0.54531,284600.2789082733,0.0035962114,0.0008973479
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,500,,0.0000046378,,1.2613,0.00012672,3.6222,0.72931,215619.4747509595,0.0034624086,0.0009558855
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,550,,0.0000056903,,1.0069,0.00014102,3.2369,0.91331,175737.6588229091,0.0034948316,0.0010796848
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,600,,0.0000064163,,0.75244,0.00015533,2.8515,1.0973,155853.0617333977,0.0037603305,0.0013187202
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,650,,0.000006561,,,0.00016964,2.4661,1.2813,152415.7902758726,0.0043861804,0.0017785898
27942,10.1039/c9ee00317g,25662,2(a),31980,Ge1+xTe_ x=0.04,undefined,700,,0.0000058696,,,0.00018394,2.0808,1.4653,170369.3607741584,0.0057642639,0.0027702153
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,350,,0.0000026439,,2.0223,0.000086569,5.383,0.18148,378229.1312076856,0.0028345216,0.0005265691
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,400,,0.0000031664,,1.78,0.00010048,4.9347,0.36481,315816.0687215766,0.0031885518,0.0006461491
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,450,,0.0000036889,,1.5378,0.0001144,4.4863,0.54815,271083.5208327686,0.0035477676,0.0007908004
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,500,,0.0000042113,,1.2955,0.00012831,4.038,0.73148,237456.3673924916,0.0039093525,0.0009681408
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,550,,0.0000047338,,1.0532,0.00014222,3.5896,0.91482,211246.7784866281,0.004272789,0.0011903245
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,600,,0.0000052563,,0.81096,0.00015614,3.1413,1.0981,190247.893004585,0.0046381865,0.0014765182
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,650,,0.0000057788,,,0.00017005,2.6929,1.2815,173046.3071918045,0.0050039805,0.0018582125
27942,10.1039/c9ee00317g,25667,4(a),31981,BiyGe1.04-yTe_ y=0.00,undefined,700,,0.0000063012,,,0.00018396,2.2445,1.4648,158699.9301720307,0.005370609,0.0023927864
27942,10.1039/c9ee00317g,25670,5(a)(lattice),31981,BiyGe1.04-yTe_ y=0.00,undefined,300,,,,2.2646,,,-0.0018545,,,
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,350,,0.0000039664,,1.9919,0.00010205,3.7407,0.23331,252117.7894312223,0.0026256057,0.0007019022
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,400,,0.0000045711,,1.7897,0.00011731,3.4898,0.43101,218765.7237863971,0.0030105743,0.0008626782
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,450,,0.0000051757,,1.5874,0.00013257,3.2388,0.62871,193210.5802113724,0.0033956383,0.0010484248
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,500,,0.0000057804,,1.3851,0.00014783,2.9879,0.82641,172998.4084146426,0.0037806569,0.0012653224
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,550,,0.000006385,,1.1828,0.00016309,2.737,1.0241,156617.0712607674,0.0041657554,0.0015220151
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,600,,0.0000069897,,0.98055,0.00017835,2.4861,1.2218,143067.656694851,0.0045507994,0.0018304973
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,650,,0.0000075944,,0.77827,0.00019361,2.2352,1.4195,131675.9717686716,0.0049358517,0.0022082372
27942,10.1039/c9ee00317g,25667,4(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,700,,0.000008199,,0.57599,0.00020886,1.9843,1.6172,121966.0934260276,0.0053204659,0.002681281
