sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical conductivity,Power factor,Figure of merit Z
27916,10.1039/c7qi00138j,25286,7b,31432,Te1−xSbx_ x=0.5%,Te0.995Sb0.005,500,,,,0.42752,248.34,1.2223,0.66368,,,,
27916,10.1039/c7qi00138j,25286,7b,31432,Te1−xSbx_ x=0.5%,Te0.995Sb0.005,550,,,,0.49907,272.34,1.0628,0.77027,,,,
27916,10.1039/c7qi00138j,25287,7c,31432,Te1−xSbx_ x=0.5%,Te0.995Sb0.005,600,,,,,,0.9033,0.87685,,,,
27916,10.1039/c7qi00138j,25286,7b,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,350,,,,0.21008,170.07,1.5173,0.33056,,,,
27916,10.1039/c7qi00138j,25286,7b,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,400,,,,0.27341,193.67,1.388,0.45303,,,,
27916,10.1039/c7qi00138j,25286,7b,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,450,,,,0.33674,217.27,1.2587,0.5755,,,,
27916,10.1039/c7qi00138j,25286,7b,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,500,,,,0.40007,240.86,1.1294,0.69797,,,,
27916,10.1039/c7qi00138j,25286,7b,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,550,,,,0.4634,264.46,1.0001,0.82044,,,,
27916,10.1039/c7qi00138j,25287,7c,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,600,,,,,,0.87084,0.94291,,,,
27916,10.1039/c7qi00138j,25288,7d,31434,Te1−xSbx_ x=1.5%,Te0.985Sb0.015,300,,,,,,,0.20809,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,350,,,,0.1659,139.54,1.5995,0.26617,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,400,,,,0.22362,157.19,1.4605,0.35112,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,450,,,,0.28134,174.84,1.3215,0.43608,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,500,,,,0.33906,192.48,1.1826,0.52104,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,550,,,,0.39677,210.13,1.0436,0.606,,,,
27916,10.1039/c7qi00138j,25286,7b,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,600,,,,0.45449,227.78,0.90464,0.69095,,,,
27916,10.1039/c7qi00138j,25287,7c,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,650,,,,,,0.76568,0.77591,,,,
27916,10.1039/c7qi00138j,25288,7d,31436,Te1−xSbx_ x=4.0%,Te0.96Sb0.04,300,,,,,,,0.18121,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,350,,,,0.15324,,1.4788,0.26502,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,400,,,,0.19552,,1.3657,0.35558,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,450,,,,0.2378,,1.2526,0.44613,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,500,,,,0.28008,,1.1394,0.53668,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,550,,,,0.32236,,1.0263,0.62724,,,,
27916,10.1039/c7qi00138j,25286,7b,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,600,,,,0.36464,,0.91321,0.71779,,,,
27916,10.1039/c7qi00138j,25287,7c,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,650,,,,,,0.80009,0.80834,,,,
27916,10.1039/c7qi00138j,25288,7d,31439,Te1−xSbx_ x=8.0%,Te0.92Sb0.08,300,,,,,,,0.17447,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,350,,,,2.1172,316.79,1.5092,0.11228,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,400,,,,2.1403,299.46,1.4274,0.1212,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,450,,,,2.1634,282.12,1.3455,0.13012,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,500,,,,2.1866,264.79,1.2637,0.13904,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,550,,,,2.2097,247.46,1.1818,0.14797,,,,
27916,10.1039/c7qi00138j,25286,7b,31422,Te1−xSbx_ x=0%,Te,600,,,,2.2328,230.13,1.1,0.15689,,,,
27916,10.1039/c7qi00138j,25287,7c,31422,Te1−xSbx_ x=0%,Te,650,,,,,,1.0182,0.16581,,,,
27916,10.1039/c7qi00138j,25288,7d,31422,Te1−xSbx_ x=0%,Te,300,,,,,,,0.10336,,,,
