sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,850,,,,,0.84942,,,,
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,900,,,,,0.91704,,,,
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,950,,,,,0.98466,,,,
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,1000,,,,,1.0523,,,,
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,1050,,,,,1.1199,,,,
27925,10.1002/advs.201600035,25414,1c,31638,FeNb0.8Ti0.2Sb-BM,FeNb0.8Ti0.2Sb-BM,1100,,,,,1.1875,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,350,,,,,0.17992,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,400,,,,,0.25651,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,450,,,,,0.3331,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,500,,,,,0.4097,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,550,,,,,0.48629,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,600,,,,,0.56288,,,,
