sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,500,128380,0.68506,0.000055285,2.0101,0.10704,0.0000077894,0.0003923846,0.0001952065
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,550,120750,0.63177,0.000060452,1.9682,0.13267,0.0000082816,0.0004412741,0.0002242019
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,600,113110,0.57848,0.000065443,1.9263,0.1583,0.000008841,0.000484426,0.00025148
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,650,105480,0.52519,0.000070257,1.8843,0.18393,0.0000094805,0.0005206541,0.0002763117
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,700,97846,0.4719,0.000074895,1.8424,0.20956,0.0000102201,0.0005488438,0.0002978961
27934,10.1039/c7dt03223d,25459,2(a),31706,Cu4+xMn2Te4−δ−yCly_ x=0.02_ δ=0_ y=0,undefined,750,90214,0.4186,0.000079357,1.8005,0.23519,0.0000110848,0.0005681257,0.0003155377
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,300,154560,,,,,0.00000647,,
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,350,146440,0.84101,0.000040928,2.0501,0.043401,0.0000068287,0.0002453018,0.0001196536
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,400,138330,0.80865,0.000047935,2.0236,0.067954,0.0000072291,0.0003178497,0.0001570714
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,450,130220,0.77629,0.000054477,1.9972,0.092507,0.0000076793,0.0003864596,0.0001935007
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,500,122110,0.74392,0.000060555,1.9708,0.11706,0.0000081893,0.0004477661,0.0002272002
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,550,113990,0.71156,0.000066168,1.9444,0.14161,0.0000087727,0.0004990715,0.0002566712
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,600,105880,0.6792,0.000071316,1.918,0.16617,0.0000094447,0.0005385027,0.0002807626
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,650,97770,0.64684,0.000076,1.8916,0.19072,0.0000102281,0.0005647195,0.0002985407
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,700,89658,0.61447,0.000080218,1.8651,0.21527,0.0000111535,0.0005769427,0.0003093361
27934,10.1039/c7dt03223d,25459,2(a),31707,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.02_ y=0,undefined,750,81545,0.58211,0.000083972,1.8387,0.23982,0.0000122632,0.000574998,0.0003127199
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,350,141350,0.82085,0.000042237,1.9869,0.053517,0.0000070746,0.0002521633,0.0001269129
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,400,133130,0.77881,0.000049538,1.9443,0.084493,0.0000075115,0.0003267028,0.0001680311
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,450,124910,0.73676,0.000056391,1.9016,0.11547,0.0000080058,0.0003972069,0.0002088804
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,500,116690,0.69471,0.000062796,1.8589,0.14645,0.0000085697,0.0004601481,0.0002475378
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,550,108470,0.65267,0.000068753,1.8162,0.17742,0.0000092191,0.000512735,0.000282312
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,600,100250,0.61062,0.000074262,1.7735,0.2084,0.0000099751,0.0005528632,0.0003117357
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,650,92024,0.56857,0.000079324,1.7309,0.23937,0.0000108667,0.0005790423,0.0003345325
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,700,83803,0.52653,0.000083937,1.6882,0.27035,0.0000119327,0.0005904273,0.0003497378
27934,10.1039/c7dt03223d,25459,2(a),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,750,75582,0.48448,0.000088103,1.6455,0.30133,0.0000132307,0.000586678,0.0003565348
27934,10.1039/c7dt03223d,25462,2(d),31708,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0,undefined,300,,0.8629,,2.0296,0.022541,,,
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,350,136670,0.55856,0.00004621,1.6721,0.058916,0.0000073169,0.0002918402,0.0001745351
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,400,129090,0.51037,0.000051863,1.6255,0.094393,0.0000077465,0.0003472225,0.0002136097
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,450,121500,0.46217,0.000057516,1.5789,0.12987,0.0000082305,0.000401933,0.0002545652
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,500,113920,0.41397,0.000063169,1.5323,0.16535,0.0000087781,0.0004545775,0.0002966635
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,550,106340,0.36577,0.000068821,1.4857,0.20082,0.0000094038,0.0005036613,0.0003390061
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,600,98757,0.31757,0.000074474,1.4391,0.2363,0.0000101259,0.0005477435,0.0003806153
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,650,91174,0.26937,0.000080127,1.3925,0.27178,0.000010968,0.0005853677,0.0004203718
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,700,83591,0.22117,0.00008578,1.3459,0.30726,0.000011963,0.00061508,0.0004570027
27934,10.1039/c7dt03223d,25459,2(a),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,750,76009,0.17298,0.000091433,1.2993,0.34273,0.0000131563,0.0006354347,0.0004890593
27934,10.1039/c7dt03223d,25462,2(d),31709,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.02,undefined,300,,0.60676,,1.7187,0.023439,,,
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,300,140320,0.583,0.000044346,1.66,0.034217,0.0000071266,0.0002759488,0.0001662342
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,350,132860,0.54775,0.000049781,1.6265,0.070692,0.0000075267,0.0003292467,0.0002024265
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,400,125400,0.51251,0.000055216,1.593,0.10717,0.0000079745,0.0003823204,0.0002400002
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,450,117940,0.47726,0.000060651,1.5595,0.14364,0.0000084789,0.0004338475,0.0002781965
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,500,110490,0.44202,0.000066085,1.526,0.18012,0.0000090506,0.0004825349,0.000316209
27934,10.1039/c7dt03223d,25459,2(a),31710,Cu4+xMn2Te4−δ−yCly_ x=0_ δ=0.04_ y=0.03,undefined,550,103030,0.40677,0.00007152,1.4926,0.21659,0.0000097059,0.0005270098,0.0003530818
