sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,600,13861,0.00019364,0.00050143,0.46587,0.46904,0.34314,0.0000721449,0.0010763303
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,650,12810,0.00019912,0.00049167,0.45317,0.51568,0.32958,0.000078064,0.0010849571
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,700,11759,0.00020459,0.0004819,0.44046,0.56232,0.31602,0.0000850412,0.0010940835
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,750,10708,0.00021006,0.00047214,0.42776,0.60896,0.30246,0.0000933881,0.0011037498
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,800,9656.7,0.00021553,0.00046238,0.41505,0.6556,0.28891,0.000103555,0.0011140345
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,850,8605.6,0.000221,0.00045262,0.40235,0.70224,0.27535,0.0001162034,0.001124941
7964,10.1039/c2ee22622g,17501,3a,21017,1E20,Bi0.95Ba0.05CuSeO,900,7554.4,0.00022647,0.00044286,0.38964,0.74888,0.26179,0.0001323732,0.0011365876
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,350,31058,0.00014303,0.00064624,0.55711,0.25304,0.3751,0.0000321978,0.0011599864
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,400,29373,0.00014809,0.00063572,0.544,0.30591,0.36362,0.0000340449,0.0011686029
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,450,27688,0.00015315,0.00062521,0.53089,0.35879,0.35214,0.0000361167,0.0011776639
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,500,26003,0.00015822,0.0006147,0.51778,0.41166,0.34066,0.0000384571,0.0011871837
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,550,24318,0.00016328,0.00060419,0.50467,0.46454,0.32918,0.0000411218,0.0011971982
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,600,22633,0.00016834,0.00059367,0.49156,0.51741,0.3177,0.0000441833,0.0012077264
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,650,20948,0.00017341,0.00058316,0.47845,0.57028,0.30622,0.0000477373,0.0012188525
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,700,19264,0.00017847,0.00057265,0.46534,0.62316,0.29474,0.0000519103,0.0012306056
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,750,17579,0.00018353,0.00056214,0.45223,0.67603,0.28326,0.0000568861,0.00124304
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,800,15894,0.0001886,0.00055162,0.43912,0.72891,0.27178,0.0000629168,0.0012561942
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,850,14209,0.00019366,0.00054111,0.42601,0.78178,0.26031,0.0000703779,0.0012701815
7964,10.1039/c2ee22622g,17501,3a,21018,5E20,Bi0.925Ba0.075CuSeO,900,12524,0.00019872,0.0005306,0.4129,0.83466,0.24883,0.0000798467,0.0012850569
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,350,36249,0.00011845,0.00058962,0.59072,0.2675,0.34786,0.000027587,0.0009981379
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,400,34256,0.00012533,0.00058984,0.57594,0.32597,0.33763,0.000029192,0.0010241345
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,450,32262,0.00013221,0.00059006,0.56116,0.38445,0.3274,0.0000309962,0.0010515005
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,500,30268,0.00013909,0.00059028,0.54639,0.44293,0.31717,0.0000330382,0.0010803272
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,550,28274,0.00014597,0.0005905,0.53161,0.5014,0.30694,0.0000353682,0.0011107767
