sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical conductivity,Power factor
14598,10.1038/ncomms10287,20728,3a,25688,5.7*10^18,p-tellurium,550,,,,0.00037351,,,,
14598,10.1038/ncomms10287,20728,3a,25689,2.3*10^19,p-tellurium,350,,,,0.00020722,,,,
14598,10.1038/ncomms10287,20728,3a,25689,2.3*10^19,p-tellurium,400,,,,0.00023114,,,,
14598,10.1038/ncomms10287,20728,3a,25689,2.3*10^19,p-tellurium,450,,,,0.00025506,,,,
14598,10.1038/ncomms10287,20728,3a,25689,2.3*10^19,p-tellurium,500,,,,0.00027898,,,,
14598,10.1038/ncomms10287,20728,3a,25689,2.3*10^19,p-tellurium,550,,,,0.0003029,,,,
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,350,0.00023118,,1.4306,0.00031944,,1.4609,4325.6337053378,0.0004413959
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,400,0.00022515,,1.3493,0.00030068,,1.3873,4441.4834554741,0.0004015477
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,450,0.00021912,,1.268,0.00028193,,1.3136,4563.7093829865,0.0003627443
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,500,0.00021309,,1.1867,0.00026318,,1.24,4692.8527852081,0.0003250444
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,550,0.00020706,,1.1055,0.00024442,,1.1664,4829.5180141022,0.0002885209
14598,10.1038/ncomms10287,20728,3a,25690,p-tellurium 8.04*10^17,p-tellurium,600,0.00020103,,1.0242,0.00022567,,1.0928,4974.3819330448,0.0002533301
14598,10.1038/ncomms10287,20730,3c,25690,p-tellurium 8.04*10^17,p-tellurium,650,,,,,,1.0191,,
14598,10.1038/ncomms10287,20729,3b,25690,p-tellurium 8.04*10^17,p-tellurium,300,0.00023721,,,,,,4215.673875469,
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,350,0.00024766,,1.4282,0.00018245,,1.6727,4037.7937494953,0.0001344101
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,400,0.00035361,,1.3113,0.0001964,,1.5422,2827.9743219932,0.0001090833
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,450,0.00045956,,1.1943,0.00021035,,1.4117,2175.9944294543,0.0000962815
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,500,0.00056551,,1.0774,0.0002243,,1.2812,1768.3153259889,0.0000889648
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,550,0.00067146,,0.96043,0.00023825,,1.1507,1489.2919905877,0.0000845368
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,600,0.00077741,,0.84348,0.0002522,,1.0202,1286.3225325118,0.0000818163
14598,10.1038/ncomms10287,20728,3a,25691,p-tellurium 7.48*10^18,p-tellurium,650,0.00088336,,,0.00026615,,0.88971,1132.0412968665,0.0000801891
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,350,0.000095693,,1.3139,0.000097276,,1.905,10450.0851681941,0.0000988852
