sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31588,Cu4Mn2+xTe4_ x=0.2,undefined,700,70939,,0.00010628,,,0.0000140966,0.0008012871,
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31588,Cu4Mn2+xTe4_ x=0.2,undefined,750,62965,,,,,0.0000158818,,
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,350,250060,,0.000023417,2.5581,0.018761,0.000003999,0.0001371219,0.000053603
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,400,239620,0.42667,0.000027945,2.5971,0.019029,0.0000041733,0.0001871248,0.0000720514
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,450,229190,0.38577,0.000032473,2.6361,0.035542,0.0000043632,0.0002416799,0.0000916808
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,500,218750,0.34486,0.000037001,2.6751,0.052056,0.0000045714,0.0002994849,0.0001119528
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,550,208310,0.30395,0.000041529,2.7141,0.068569,0.0000048005,0.0003592635,0.0001323693
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,600,197870,0.26304,0.000046057,2.7531,0.085083,0.0000050538,0.0004197312,0.0001524577
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,650,187430,0.22213,0.000050585,2.7921,0.1016,0.0000053353,0.0004796038,0.0001717717
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,700,177000,0.18123,0.000055114,2.8312,0.11811,0.0000056497,0.0005376469,0.0001899007
27923,10.1021/acs.inorgchem.8b00301,25360,5(b),31590,Cu4−yInyMn2Te4_ y=0,undefined,300,,,,2.5191,,,,
27923,10.1021/acs.inorgchem.8b00301,25363,5(d),31590,Cu4−yInyMn2Te4_ y=0,undefined,750,,0.14032,,,,,,
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,350,127300,,0.000051629,1.9879,0.059743,0.0000078555,0.000339325,0.0001706952
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,400,120240,,0.000058179,1.9551,0.083267,0.0000083167,0.0004069879,0.0002081673
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,450,113170,0.88854,0.000064729,1.9223,0.11713,0.0000088363,0.0004741646,0.0002466652
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,500,106100,0.85878,0.000071279,1.8895,0.14875,0.0000094251,0.0005390618,0.0002852934
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,550,99034,0.82903,0.000077828,1.8567,0.18036,0.0000100975,0.0005998685,0.0003230832
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,600,91966,0.79928,0.000084378,1.8239,0.21198,0.0000108736,0.0006547654,0.000358992
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,650,84899,0.76952,0.000090928,1.791,0.24359,0.0000117787,0.0007019365,0.0003919244
27923,10.1021/acs.inorgchem.8b00301,25360,5(b),31591,Cu4−yInyMn2Te4_ y=0.1,undefined,700,,,,1.7582,,,,
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,350,98349,,0.000073485,1.3485,0.13784,0.0000101679,0.000531089,0.0003938369
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,400,91281,,0.000080707,1.3032,0.1825,0.0000109552,0.0005945697,0.0004562383
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,450,84213,0.41603,0.000087928,1.2579,0.28934,0.0000118747,0.0006510788,0.0005175918
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,500,77145,0.42089,0.00009515,1.2126,0.32719,0.0000129626,0.000698434,0.0005759805
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,550,70077,0.42576,0.00010237,1.1673,0.36504,0.00001427,0.0007343801,0.0006291271
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,600,63009,0.43062,0.00010959,1.122,0.40289,0.0000158707,0.0007567361,0.0006744528
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,650,55941,0.43548,0.00011682,1.0767,0.44074,0.000017876,0.0007634219,0.0007090387
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,700,48873,0.44035,0.00012404,1.0314,0.47859,0.0000204612,0.0007519561,0.0007290636
27923,10.1021/acs.inorgchem.8b00301,25355,4(b),31592,Cu4−yInyMn2Te4_ y=0.2,undefined,750,41805,0.44521,0.00013126,,,0.0000239206,0.0007202662,
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,350,15824,,0.00019556,1.0928,0.19382,0.0000631951,0.0006051685,0.0005537779
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,400,14575,,0.0002051,1.0389,0.23606,0.0000686106,0.0006131121,0.0005901551
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,450,13327,,0.00021464,0.98506,0.31729,0.0000750356,0.0006139793,0.0006232913
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,500,12079,,0.00022418,0.93119,0.35438,0.0000827883,0.0006070503,0.0006519081
