sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.2e+26,,0.00012353,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.25e+26,,0.00012355,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.3e+26,,0.00012358,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.35e+26,,0.0001236,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.4e+26,,0.00012363,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.45e+26,,0.00012365,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.5e+26,,0.00012368,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.55e+26,,0.0001237,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.6e+26,,0.00012373,,,,,
305,10.1063/1.2970089,27494,3(b),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,,6.65e+26,,0.00012375,,,,,
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,350,,0.000020772,0.000063667,0.89508,-0.029516,48141.7292509147,0.0001951419,0.0002180161
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,400,,0.00002296,0.000071041,0.88539,0.029184,43554.0069686411,0.0002198094,0.0002482628
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,450,,0.000025113,0.000078416,0.8757,0.087884,39820.0135388046,0.000244856,0.0002796118
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,500,,0.000027231,0.00008579,0.866,0.14658,36722.8526311924,0.0002702774,0.0003120986
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,550,,0.000029313,0.000093164,0.85631,0.20528,34114.5566813359,0.0002960983,0.0003457841
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,600,,0.00003136,0.00010054,0.84662,0.26398,31887.7551020408,0.0003223307,0.0003807266
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,650,,0.000033372,0.00010791,0.83693,0.32268,29965.2403212274,0.0003489323,0.0004169193
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,700,,0.000035348,0.00011529,0.82724,0.38138,28290.1437139301,0.0003760265,0.0004545555
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,750,,0.000037289,0.00012266,0.81754,0.44008,26817.5601383786,0.0004034829,0.000493533
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,800,,0.000039195,0.00013004,0.80785,0.49878,25513.4583492792,0.0004314428,0.000534063
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,850,,0.000041065,0.00013741,0.79816,0.55748,24351.6376476318,0.0004597956,0.0005760695
