sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.35e+26,,0.00013441,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.4e+26,,0.00013406,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.45e+26,,0.00013371,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.5e+26,,0.00013335,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.55e+26,,0.000133,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.6e+26,,0.00013265,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.65e+26,,0.00013229,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.7e+26,,0.00013194,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.75e+26,,0.00013159,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.8e+26,,0.00013123,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.85e+26,,0.00013088,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.9e+26,,0.00013053,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.95e+26,,0.00013018,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8e+26,,0.00012982,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.05e+26,,0.00012947,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.1e+26,,0.00012912,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.15e+26,,0.00012876,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.2e+26,,0.00012841,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.25e+26,,0.00012806,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.3e+26,,0.00012771,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.35e+26,,0.00012735,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.4e+26,,0.000127,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.45e+26,,0.00012665,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.5e+26,,0.00012629,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.55e+26,,0.00012594,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.6e+26,,0.00012559,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.65e+26,,0.00012523,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.7e+26,,0.00012488,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.75e+26,,0.00012453,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.8e+26,,0.00012418,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.85e+26,,0.00012382,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.9e+26,,0.00012347,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,8.95e+26,,0.00012312,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9e+26,,0.00012276,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.05e+26,,0.00012241,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.1e+26,,0.00012206,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.15e+26,,0.00012171,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.2e+26,,0.00012135,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.25e+26,,0.000121,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.3e+26,,0.00012065,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.35e+26,,0.00012029,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.4e+26,,0.00011994,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.45e+26,,0.00011959,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.5e+26,,0.00011923,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.55e+26,,0.00011888,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.6e+26,,0.00011853,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.65e+26,,0.00011818,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.7e+26,,0.00011782,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.75e+26,,0.00011747,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.8e+26,,0.00011712,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.85e+26,,0.00011676,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.9e+26,,0.00011641,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,9.95e+26,,0.00011606,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1e+27,,0.00011571,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.005e+27,,0.00011535,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.01e+27,,0.000115,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.015e+27,,0.00011465,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.02e+27,,0.00011429,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.025e+27,,0.00011394,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.03e+27,,0.00011359,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.035e+27,,0.00011324,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.04e+27,,0.00011288,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.045e+27,,0.00011253,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.05e+27,,0.00011218,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.055e+27,,0.00011182,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.06e+27,,0.00011147,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.065e+27,,0.00011112,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.07e+27,,0.00011076,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.075e+27,,0.00011041,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.08e+27,,0.00011006,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.085e+27,,0.00010971,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.09e+27,,0.00010935,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.095e+27,,0.000109,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.1e+27,,0.00010865,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.105e+27,,0.00010829,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.11e+27,,0.00010794,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.115e+27,,0.00010759,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.12e+27,,0.00010724,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.125e+27,,0.00010688,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.13e+27,,0.00010653,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.135e+27,,0.00010618,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.14e+27,,0.00010582,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.145e+27,,0.00010547,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.15e+27,,0.00010512,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.155e+27,,0.00010476,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.16e+27,,0.00010441,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.165e+27,,0.00010406,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.17e+27,,0.00010371,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.175e+27,,0.00010335,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.18e+27,,0.000103,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.185e+27,,0.00010265,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.19e+27,,0.00010229,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.195e+27,,0.00010194,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.2e+27,,0.00010159,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.205e+27,,0.00010124,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.21e+27,,0.00010088,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.215e+27,,0.00010053,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.22e+27,,0.00010018,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.225e+27,,0.000099824,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.23e+27,,0.000099471,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.235e+27,,0.000099118,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.24e+27,,0.000098765,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.245e+27,,0.000098412,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.25e+27,,0.000098059,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.255e+27,,0.000097706,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.26e+27,,0.000097353,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.265e+27,,0.000097,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.27e+27,,0.000096647,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.275e+27,,0.000096294,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.28e+27,,0.000095941,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.285e+27,,0.000095588,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.29e+27,,0.000095236,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.295e+27,,0.000094883,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.3e+27,,0.00009453,,,,,
