sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,550,0.000014526,0.0022213,0.0001779,1.5552,0.80727,68842.0762770205,0.001428305
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,600,0.000015787,0.0023158,0.00018814,1.4266,0.93575,63343.2571102806,0.0016233002
769,10.1039/b916346h,10694,2(a),12885,x=0.1,EuZn1.8Cd0.2Sb2,650,0.000017048,0.0024103,,1.2981,1.2069,58657.9070858752,0.0018567907
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,300,0.000015884,0.0013845,,,,62956.4341475699,
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,350,0.000018201,0.001416,0.00016025,1.6566,0.29322,54942.0361518598,0.0008547628
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,400,0.000020518,0.0014474,0.00017384,1.5547,0.39255,48737.6937323326,0.0009309835
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,450,0.000022835,0.0014788,0.00018576,1.4528,0.49187,43792.4239106635,0.0010178965
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,500,0.000025152,0.0015103,0.00019612,1.3509,0.5912,39758.2697201018,0.0011179954
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,550,0.000027468,0.0015417,0.00020503,1.249,0.69053,36405.999708752,0.0012343475
769,10.1039/b916346h,10694,2(a),12886,x=0.3,EuZn1.4Cd0.6Sb2,600,0.000029785,0.0015732,0.0002126,1.1471,0.78986,33573.9466174249,0.0013714585
769,10.1039/b916346h,10695,2(b),12886,x=0.3,EuZn1.4Cd0.6Sb2,650,,,0.00021896,,,,
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,350,0.00010375,0.00062162,0.0002534,1.2121,0.169,9638.5542168675,0.0005128455
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,400,0.00010783,0.00064377,0.00026248,1.1186,0.24825,9273.8569971251,0.000575514
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,450,0.00011192,0.00066592,0.00027156,1.025,0.3275,8934.9535382416,0.000649678
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,500,0.00011601,0.00068808,0.00028064,0.93137,0.40675,8619.9465563314,0.0007387827
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,550,0.0001201,0.00071023,0.00028972,0.83778,0.486,8326.3946711074,0.0008477524
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,600,0.00012418,0.00073238,0.0002988,0.74419,0.56525,8052.8265421163,0.0009841304
769,10.1039/b916346h,10694,2(a),12887,x=1,EuCd2Sb2,650,0.00012827,,,,,7796.0551960708,
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,350,,0.0010368,0.00018945,1.4192,0.25094,,0.0007305524
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,400,,0.0010669,0.00020031,1.3299,0.3407,,0.0008022408
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,450,,0.001097,0.00021117,1.2406,0.43046,,0.0008842496
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,500,,0.001127,0.00022203,1.1512,0.52022,,0.0009789785
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,550,,0.0011571,0.00023289,1.0619,0.60998,,0.0010896506
769,10.1039/b916346h,10695,2(b),12888,x=0.5,EuZnCdSb2,600,,0.0011872,0.00024374,0.97261,0.69974,,0.0012206331
769,10.1039/b916346h,10696,2(c),12888,x=0.5,EuZnCdSb2,650,,0.0012173,,,,,
