sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11387,4a,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,600,8.7166e+25,20430,0.000048948,0.0014776,1.1981,0.00024307,1.3868,0.49223,0.0012070662,0.0008703967
2795,10.1039/c4ta01957a,11387,4a,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,650,9.4284e+25,19069,0.000052441,0.0011113,,0.00025542,1.1425,0.56427,0.0012440497,0.0010888837
2795,10.1039/c4ta01957a,11388,4b,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,300,4.4461e+25,,,0.0036754,2.8166,0.00016897,2.8529,0.059972,,
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,350,1.0416e+26,50163,0.000019935,0.0028365,2.5559,0.00012924,2.7556,0.1051,0.0008378715,0.0003040614
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,400,1.1418e+26,46215,0.000021638,0.0025365,2.2899,0.00014373,2.5113,0.18671,0.0009547239,0.0003801712
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,450,1.2419e+26,42398,0.000023586,0.0022365,2.0239,0.00015821,2.2669,0.26832,0.0010612391,0.0004681455
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,500,1.3421e+26,38791,0.000025779,0.0019365,1.758,0.0001727,2.0226,0.34992,0.0011569528,0.0005720127
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,550,1.4423e+26,35441,0.000028216,0.0016365,1.492,0.00018719,1.7783,0.43153,0.001241856,0.0006983389
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,600,1.5424e+26,32364,0.000030899,0.0013365,1.226,0.00020167,1.534,0.51314,0.0013162694,0.0008580635
2795,10.1039/c4ta01957a,11387,4a,13632,Cu2.95Sb1-xSnxSe4 (x=0.02),Cu2.95Sb0.98Sn0.02Se4,650,1.6426e+26,29562,0.000033827,,,0.00021616,1.2897,0.59475,0.0013812888,0.0010710155
