sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25601,3(b),31877,BixGe1−xTe_ 2.4e20,undefined,650,0.000014497,0.0010942,0.00019362,1.4691,1.2974,68979.7889218459,0.0025859629,0.0017602361
18654,10.1038/am.2017.8,25601,3(b),31877,BixGe1−xTe_ 2.4e20,undefined,700,0.000015881,0.00048497,0.00020764,1.4057,1.4555,62968.3269315534,0.0027148397,0.001931308
18654,10.1038/am.2017.8,25601,3(b),31877,BixGe1−xTe_ 2.4e20,undefined,750,0.000017264,-0.0001243,0.00022167,1.3422,1.6136,57924.0037071362,0.0028462459,0.0021205825
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,300,0.0000028946,0.0057849,,,,345470.8768050853,,
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,350,0.0000058724,0.0051187,0.00010786,1.76,0.3696,170288.1275117499,0.0019810945,0.0011256219
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,400,0.0000084794,0.0044524,0.0001257,1.7065,0.5303,117932.872608911,0.0018633972,0.0010919409
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,450,0.000010716,0.0037861,0.00014355,1.6531,0.691,93318.4023889511,0.0019229752,0.001163254
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,500,0.000012581,0.0031199,0.00016139,1.5996,0.85169,79484.937604324,0.0020703229,0.0012942754
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,550,0.000014075,0.0024536,0.00017923,1.5461,1.0124,71047.9573712256,0.0022823014,0.0014761668
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,600,0.000015199,0.0017873,0.00019707,1.4927,1.1731,65793.8022238305,0.0025552066,0.0017118018
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,650,0.000015952,0.0011211,0.00021491,1.4392,1.3338,62688.0641925777,0.0028953302,0.0020117637
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,700,0.000016334,0.0004548,0.00023275,1.3857,1.4945,61221.9909391453,0.0033165521,0.0023934128
18654,10.1038/am.2017.8,25601,3(b),31878,BixGe1−xTe_ 2.0e20,undefined,750,0.000016345,-0.00021147,0.00025059,1.3323,1.6552,61180.7892321811,0.003841869,0.0028836365
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,300,,0.0056432,,,,,,
