sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,355,29122,0.00022923,0.74176,0.72236,0.0000343383,0.0015302561,0.002063007
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,360,28406,0.00023093,0.73891,0.72857,0.0000352038,0.0015148541,0.0020501198
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,365,27713,0.00023253,0.73662,0.73477,0.0000360841,0.0014984475,0.0020342205
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,370,27042,0.00023406,0.7349,0.74097,0.0000369795,0.0014814712,0.0020158813
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,375,26391,0.00023553,0.73375,0.74718,0.0000378917,0.0014640244,0.0019952632
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,380,25765,0.00023695,0.73315,0.75338,0.0000388123,0.0014465837,0.0019731074
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,385,25166,0.00023832,0.73309,0.75959,0.0000397362,0.0014293388,0.0019497453
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,390,24601,0.00023963,0.73353,0.76579,0.0000406488,0.0014126518,0.0019258269
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,395,24077,0.00024083,0.73444,0.77199,0.0000415334,0.0013964441,0.0019013726
2549,10.1007/s11664-013-2938-8,1042, 2a-RightY,1710,ZM-perpendicular,unknown,400,,0.00024189,,,,,
2549,10.1007/s11664-013-2938-8,1042, 2a-RightY,1710,ZM-perpendicular,unknown,405,,0.00024274,,,,,
2549,10.1007/s11664-013-2938-8,27350,3-RightY,1710,ZM-perpendicular,unknown,300,,,,0.65413,,,
