sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,S,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical resistivity,Figure of merit Z
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,350,29861,,,0.0015445,,0.00022743,0.74516,0.72545,,0.0000334885,0.0020727092
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,355,29122,,,0.0015303,,0.00022923,0.74176,0.73239,,0.0000343383,0.0020630662
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,360,28406,,,0.0015149,,0.00023093,0.73891,0.73807,,0.0000352038,0.002050182
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,365,27713,,,0.0014984,,0.00023253,0.73662,0.74247,,0.0000360841,0.002034156
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,370,27042,,,0.0014815,,0.00023406,0.7349,0.74589,,0.0000369795,0.0020159205
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,375,26391,,,0.001464,,0.00023553,0.73375,0.74821,,0.0000378917,0.00199523
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,380,25765,,,0.0014466,,0.00023695,0.73315,0.74979,,0.0000388123,0.0019731296
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,385,25166,,,0.0014293,,0.00023832,0.73309,0.75063,,0.0000397362,0.0019496924
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,390,24601,,,0.0014127,,0.00023963,0.73353,0.7511,,0.0000406488,0.0019258926
2549,10.1007/s11664-013-2938-8,1041, 2a-LeftY,1710,ZM-perpendicular,unknown,395,24077,,,0.0013964,,0.00024083,0.73444,0.75102,,0.0000415334,0.0019013126
2549,10.1007/s11664-013-2938-8,1042, 2a-RightY,1710,ZM-perpendicular,unknown,400,,,,,,0.00024189,,,,,
2549,10.1007/s11664-013-2938-8,1042, 2a-RightY,1710,ZM-perpendicular,unknown,405,,,,,,0.00024274,,,,,
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,305,99.161,,,-0.000038654,,,0.50114,0.19125,,0.0100846099,-0.0000771321
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,310,110.85,,,-0.000036622,,0.00035987,0.49961,0.19368,,0.0090211998,-0.0000733012
