sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,450,0.0000062412,-0.00017998,3.076,0.77279,160225.5976414792,0.0051901558,0.0016873068
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,500,0.0000068326,-0.00018948,2.9951,0.89268,146357.1700377602,0.0052546132,0.0017544033
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,550,0.000007424,-0.00019897,2.9141,1.0126,134698.275862069,0.0053325782,0.0018299229
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,600,0.0000080154,-0.00020846,2.8331,1.1325,124759.8373131721,0.00542151,0.0019136317
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,650,0.0000086068,-0.00021796,2.7522,1.2523,116187.2008179579,0.0055196544,0.0020055426
27911,10.1016/j.actamat.2016.10.077,24972,1(a),31123,Mg2Sn0.73Sb0.02Ge0.25,,700,0.0000091982,-0.00022745,2.6712,1.3722,108716.9228762149,0.0056243072,0.0021055358
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31123,Mg2Sn0.73Sb0.02Ge0.25,,300,0.0000048096,-0.0001515,,,207917.49833666,0.0047721744,
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,300,0.000025507,-0.00026365,2.4916,0.34434,39204.9241384718,0.0027251861,0.0010937494
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,350,0.000025665,-0.00026628,2.4685,0.41253,38963.5690629262,0.0027627134,0.0011191871
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,400,0.000025823,-0.00026891,2.4455,0.48072,38725.1674863494,0.0028003171,0.0011450898
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,450,0.000025981,-0.00027155,2.4224,0.54891,38489.6655248066,0.0028382049,0.00117165
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,500,0.000026139,-0.00027418,2.3993,0.6171,38257.0105971919,0.0028759582,0.0011986655
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,550,0.000026298,-0.00027682,2.3763,0.68529,38025.7053768347,0.0029138837,0.0012262272
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,600,0.000026456,-0.00027945,2.3532,0.75348,37798.6090111884,0.0029517804,0.0012543687
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,650,0.000026614,-0.00028208,2.3302,0.82167,37574.2090628992,0.002989747,0.0012830431
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31124,Mg2Sn0.75-xPxGe0.25_ x=0.01,,700,0.000026772,-0.00028472,2.3071,0.88986,37352.4577917227,0.0030279949,0.001312468
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,300,0.000024864,-0.00026372,2.4038,0.36589,40218.7902187902,0.002797146,0.0011636351
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,350,0.000025204,-0.00026647,2.3722,0.43772,39676.2418663704,0.0028172616,0.0011876155
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,400,0.000025544,-0.00026923,2.3405,0.50954,39148.1365487003,0.0028376446,0.0012124096
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,450,0.000025885,-0.00027198,2.3089,0.58137,38632.4125941665,0.0028577601,0.001237715
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,500,0.000026225,-0.00027474,2.2772,0.6532,38131.5538608198,0.0028782485,0.0012639419
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,550,0.000026565,-0.0002775,2.2456,0.72503,37643.5159043855,0.002898786,0.0012908737
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,600,0.000026905,-0.00028025,2.2139,0.79686,37167.8126742241,0.0029191623,0.0013185611
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,650,0.000027245,-0.00028301,2.1823,0.86869,36703.9823820885,0.002939793,0.0013471076
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31125,Mg2Sn0.75-xPxGe0.25_ x=0.02,undefined,700,0.000027585,-0.00028576,2.1507,0.94052,36251.5860068878,0.0029602602,0.0013764171
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,350,0.00002324,-0.00026266,2.4047,0.45376,43029.2598967298,0.0029686005,0.0012344993
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,400,0.000024516,-0.00026757,2.3696,0.52993,40789.6883667809,0.0029202849,0.0012323957
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,450,0.000025562,-0.00027248,2.3346,0.60609,39120.5695954933,0.0029045204,0.0012441191
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,500,0.000026369,-0.00027739,2.2996,0.68226,37923.3190488832,0.0029180178,0.0012689241
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,550,0.000026931,-0.00028231,2.2645,0.75843,37131.9297463889,0.0029593753,0.0013068559
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,600,0.000027242,-0.00028722,2.2295,0.83459,36708.0243741282,0.0030282405,0.0013582599
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,650,0.000027295,-0.00029213,2.1944,0.91076,36636.7466568969,0.0031265776,0.0014247984
27911,10.1016/j.actamat.2016.10.077,24976,1(f),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,700,0.000027084,-0.00029704,2.1594,0.98692,36922.1680697091,0.0032577449,0.0015086343
27911,10.1016/j.actamat.2016.10.077,24977,1(g),31126,Mg2Sn0.75-xPxGe0.25_ x=0.03,undefined,300,,-0.00025775,2.4397,0.3776,,,
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,350,0.00011786,-0.00035268,2.4283,0.157,8484.6427965383,0.0010553469,0.0004346032
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,400,0.00010924,-0.00032986,2.5134,0.1559,9154.155986818,0.0009960419,0.0003962926
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,450,0.00010062,-0.00030705,2.5985,0.15479,9938.3820314053,0.0009369877,0.0003605879
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,500,0.000091997,-0.00028423,2.6836,0.15368,10869.9196712936,0.0008781449,0.0003272264
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,550,0.000083376,-0.00026142,2.7687,0.15258,11993.8591441182,0.0008196653,0.000296047
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,600,0.000074755,-0.0002386,2.8538,0.15147,13377.0316366798,0.0007615539,0.0002668561
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,650,0.000066134,-0.00021578,2.9389,0.15036,15120.8153143618,0.0007040404,0.0002395592
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,700,0.000057513,-0.00019297,3.024,0.14925,17387.3732895172,0.0006474609,0.0002141075
27911,10.1016/j.actamat.2016.10.077,24982,2(d),31127,Mg2-xYxSn0.75Ge0.25_ x=0.03,,300,,,2.3432,0.15811,,,
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,350,0.000063064,-0.00032516,2.4549,0.25476,15856.9072688063,0.0016765354,0.0006829343
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,400,0.000060637,-0.00031094,2.5131,0.25815,16491.5810478751,0.0015944668,0.0006344621
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,450,0.00005821,-0.00029671,2.5712,0.26153,17179.1788352517,0.0015124003,0.000588208
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,500,0.000055783,-0.00028248,2.6294,0.26492,17926.6084649445,0.0014304528,0.0005440225
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,550,0.000053356,-0.00026826,2.6876,0.2683,18742.03463528,0.0013487411,0.0005018385
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,600,0.000050928,-0.00025403,2.7458,0.27168,19635.5639333962,0.0012671073,0.0004614711
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,650,0.000048501,-0.0002398,2.804,0.27507,20618.1315849158,0.0011856259,0.0004228338
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31128,Mg2-xYxSn0.75Ge0.25_ x=0.04,undefined,700,0.000046074,-0.00022558,2.8621,0.27845,21704.2149585449,0.001104448,0.0003858873
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,350,0.000055463,-0.00029673,2.6306,0.21731,18030.0380433803,0.0015875213,0.0006034826
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,400,0.000055369,-0.00028536,2.6761,0.21603,18060.6476548249,0.0014706845,0.0005495626
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,450,0.000055275,-0.00027399,2.7217,0.21475,18091.3613749435,0.0013581279,0.0004989999
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,500,0.000055181,-0.00026263,2.7672,0.21347,18122.1797357786,0.0012499686,0.0004517088
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,550,0.000055087,-0.00025126,2.8128,0.2122,18153.1032730045,0.0011460342,0.0004074354
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,600,0.000054993,-0.00023989,2.8583,0.21092,18184.1325259578,0.0010464461,0.0003661079
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,650,0.000054899,-0.00022853,2.9039,0.20964,18215.2680376692,0.0009513099,0.0003275973
27911,10.1016/j.actamat.2016.10.077,24980,2(a),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,700,0.000054805,-0.00021716,2.9495,0.20836,18246.5103548946,0.0008604774,0.0002917367
27911,10.1016/j.actamat.2016.10.077,24982,2(d),31129,Mg2-xYxSn0.75Ge0.25_ x=0.05,undefined,300,,,2.585,,,,
