sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,400,1.3544e+24,0.0038431,0.000057873,1.1679,0.00039497,1.1631,0.029747,260.2066040436,0.0000405926,0.0000349003
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,450,1.4038e+24,0.0034082,0.000051396,1.0345,0.0004165,1.0331,0.046966,293.4100111496,0.0000508985,0.0000492677
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,500,1.4531e+24,0.0029734,0.000044918,0.90101,0.00043804,0.90318,0.064184,336.3153292527,0.0000645319,0.0000714496
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,550,1.5024e+24,0.0025386,0.000038441,0.76755,0.00045958,0.77321,0.081402,393.9179075081,0.0000832009,0.0001076045
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,600,1.5518e+24,0.0021037,0.000031963,0.63409,0.00048111,0.64324,0.098621,475.3529495651,0.0001100284,0.0001710535
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31735,Ge1-xAgxSe_ x=0.005,undefined,650,1.6011e+24,0.0016689,0.000025486,0.50062,0.00050265,0.51327,0.11584,599.1970759183,0.0001513913,0.0002949546
18662,10.1016/j.jmat.2016.09.001,25484,2(b),31735,Ge1-xAgxSe_ x=0.005,undefined,350,,0.0042779,0.000064351,1.3014,0.00037343,1.2931,0.012529,233.7595549218,0.0000325978,0.000025209
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31735,Ge1-xAgxSe_ x=0.005,undefined,700,,,,0.36716,,0.3833,0.13306,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,350,1.1743e+24,0.0036632,0.000081459,1.4004,0.00037267,1.3995,0.014288,272.9853679843,0.000037913,0.0000270904
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,400,1.2271e+24,0.003387,0.000070369,1.2584,0.00039417,1.2577,0.028416,295.2465308533,0.0000458725,0.0000364733
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,450,1.2798e+24,0.0031108,0.000059279,1.1165,0.00041566,1.1158,0.042544,321.4607175003,0.0000555398,0.0000497758
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,500,1.3326e+24,0.0028346,0.000048189,0.9745,0.00043715,0.97388,0.056672,352.7834615113,0.000067417,0.0000692251
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,550,1.3853e+24,0.0025584,0.000037099,0.83254,0.00045865,0.83199,0.070799,390.8692933083,0.0000822232,0.0000988271
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,600,1.4381e+24,0.0022823,0.000026009,0.69059,0.00048014,0.6901,0.084927,438.1544932743,0.0001010097,0.0001463696
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31736,Ge1-xAgxSe_ x=0.002,undefined,650,1.4908e+24,0.0020061,0.000014919,0.54863,0.00050164,0.54821,0.099055,498.4796371068,0.0001254388,0.0002288152
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31736,Ge1-xAgxSe_ x=0.002,undefined,700,,,,,,0.40632,0.11318,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,400,-6.2513e+22,,,1.2899,0.00055891,1.2953,0.0016962,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,450,-873720000000000000000,,,1.1283,0.00058938,1.1223,0.0047746,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,500,6.0766e+22,,,0.96673,0.00061984,0.94937,0.0078529,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,550,1.2241e+23,,,0.80514,0.00065031,0.77642,0.010931,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,600,1.8405e+23,,,0.64355,0.00068077,0.60346,0.01401,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31737,Ge1-xAgxSe_ x=0,undefined,650,2.4569e+23,,,,,,,,,
18662,10.1016/j.jmat.2016.09.001,25485,4(a),31737,Ge1-xAgxSe_ x=0,undefined,350,,,,1.4515,0.00052844,1.4682,-0.0013822,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,350,1.9825e+24,0.0022488,,0.65834,0.00034275,0.66102,0.032259,444.6816079687,0.0000522401,0.0000790295
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,400,2.11e+24,0.0022419,,0.61299,0.00036557,0.61669,0.053878,446.0502252554,0.0000596108,0.0000966625
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,450,2.2375e+24,0.002235,,0.56765,0.0003884,0.57235,0.075497,447.4272930649,0.0000674964,0.0001179286
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,500,2.365e+24,0.002228,,0.5223,0.00041122,0.52801,0.097116,448.8330341113,0.0000758985,0.0001437445
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,550,2.4925e+24,0.0022211,,0.47695,0.00043405,0.48368,0.11873,450.2273648192,0.0000848226,0.0001753692
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,600,2.62e+24,0.0022142,,0.4316,0.00045687,0.43934,0.14035,451.6303856923,0.0000942689,0.0002145694
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31738,Ge0.79Ag0.01Sn0.2Se,undefined,650,2.7475e+24,0.0022073,,0.38625,0.00047969,0.395,0.16197,453.0421782268,0.0001042461,0.0002639143
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31738,Ge0.79Ag0.01Sn0.2Se,undefined,700,,,,0.34091,,0.35067,0.18359,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,350,7.0696e+21,0.032776,,0.62217,0.00048897,0.62133,-0.0013334,30.5101293629,0.0000072947,0.0000117405
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,400,1.6401e+23,0.027748,,0.58187,0.00049795,0.58321,0.012629,36.038633415,0.0000089359,0.000015322
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,450,3.2094e+23,0.022721,,0.54156,0.00050692,0.54508,0.026591,44.0121473527,0.0000113097,0.0000207487
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,500,4.7788e+23,0.017693,,0.50125,0.00051589,0.50696,0.040553,56.5195274968,0.0000150422,0.0000296715
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,550,6.3482e+23,0.012666,,0.46094,0.00052487,0.46884,0.054515,78.9515237644,0.0000217502,0.0000463916
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,600,7.9175e+23,0.0076382,,0.42064,0.00053384,0.43072,0.068477,130.9208975937,0.0000373105,0.0000866236
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31739,Ge0.89Ag0.01Pb0.1Se,undefined,650,9.4869e+23,0.0026106,,0.38033,0.00054282,0.3926,0.082439,383.0537041293,0.0001128681,0.0002874889
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31739,Ge0.89Ag0.01Pb0.1Se,undefined,700,,,,0.34002,,0.35447,0.096401,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,350,,,,0.87023,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,400,,,,0.81723,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,450,,,,0.76423,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,500,,,,0.71122,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,550,,,,0.65822,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,600,,,,0.60521,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31740,SnSe,undefined,650,,,,0.55221,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,350,,,,0.42948,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,400,,,,0.43054,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,450,,,,0.43161,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,500,,,,0.43268,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,550,,,,0.43375,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,600,,,,0.43482,,,,,,
18662,10.1016/j.jmat.2016.09.001,25491,4(d),31741,Kl min,undefined,650,,,,0.43589,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32923,Ge1-xAgxSe,undefined,,1.5e+24,,0.0011045,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32923,Ge1-xAgxSe,undefined,,2e+24,,0.0011268,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32923,Ge1-xAgxSe,undefined,,2.5e+24,,0.0011491,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32924,Ge1-xAgxSe alloyed w/ PbSe,undefined,,1.5e+24,,0.00088227,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32925,Ge1-xAgxSe alloyed w/ SnSe,undefined,,3e+24,,0.00094327,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26256,3(b),32925,Ge1-xAgxSe alloyed w/ SnSe,undefined,,3.5e+24,,0.00085395,,,,,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,1.5e+24,,,,,,0.11945,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,2e+24,,,,,,0.13674,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,2.5e+24,,,,,,0.15403,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,3e+24,,,,,,0.17132,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,3.5e+24,,,,,,0.18861,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,4e+24,,,,,,0.2059,,,
18662,10.1016/j.jmat.2016.09.001,26257,5(b),32926,Ge1-xAgxSe_ 700 K,undefined,,4.5e+24,,,,,,0.22319,,,
