sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,100,,327630,0.0000030522,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,150,,309970,0.0000032261,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,200,,292300,0.0000034211,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,250,,274630,0.0000036413,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,350,,445610,0.0000022441,,0.0085293,0.00013835,11.11,0.19688,0.0007677138
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,400,,407020,0.0000024569,,0.0087654,0.00014675,10.672,0.233,0.0008213456
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,450,,368420,0.0000027143,,0.0088684,0.00015515,10.235,0.26912,0.0008664778
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,500,,329830,0.0000030319,,0.0088236,0.00016356,9.7978,0.30525,0.0009005695
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,550,,291230,0.0000034337,,0.0086117,0.00017196,9.3604,0.34137,0.0009200141
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,600,,252640,0.0000039582,,0.0082192,0.00018037,8.9231,0.37749,0.0009211149
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,650,,214040,0.000004672,,0.0076271,0.00018877,8.4857,0.41362,0.000898818
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,700,,175450,0.0000056996,,0.0068215,0.00019718,8.0484,0.44974,0.0008475598
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,750,,136850,0.0000073073,,0.0057837,0.00020558,7.611,0.48586,0.0007599133
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,800,,98258,0.000010177,,0.0044994,0.00021399,7.1736,0.52198,0.0006272165
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,850,,59664,0.000016761,,0.0029508,0.00022239,6.7363,0.55811,0.0004380446
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,900,,21069,0.000047463,,0.0011223,0.0002308,6.2989,0.59423,0.000178174
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,950,,-17525,-0.000057061,,-0.0010027,0.0002392,5.8616,0.63035,-0.0001710625
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,1000,,-56120,-0.000017819,,-0.0034408,0.00024761,5.4242,0.66647,-0.0006343424
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,1050,,-94715,-0.000010558,,-0.0062077,0.00025601,4.9869,0.7026,-0.0012448014
872,10.1039/c4ee03042g,8685,3(a),10603,x=0.08,FeNb0.92Ti0.08Sb,300,,484200,0.0000020653,,,,11.547,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,50,,677180,0.0000014767,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,100,,638580,0.000001566,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,150,,599990,0.0000016667,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,200,,561390,0.0000017813,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,250,,522800,0.0000019128,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10603,x=0.08,FeNb0.92Ti0.08Sb,1100,,-133310,-0.0000075013,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,350,,606590,0.0000016486,,0.0082384,0.00011654,9.7083,0.16356,0.0008485935
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,400,,551460,0.0000018134,,0.008567,0.00012464,9.329,0.20723,0.0009183192
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,450,,496340,0.0000020147,,0.0087455,0.00013274,8.9497,0.25089,0.0009771836
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,500,,441220,0.0000022664,,0.008752,0.00014084,8.5704,0.29456,0.0010211892
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,550,,386100,0.00000259,,0.0085661,0.00014895,8.1911,0.33823,0.0010457814
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,600,,330970,0.0000030214,,0.0081633,0.00015705,7.8118,0.38189,0.001044996
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,650,,275850,0.0000036252,,0.0075237,0.00016515,7.4325,0.42556,0.0010122704
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,700,,220730,0.0000045304,,0.0066253,0.00017325,7.0532,0.46923,0.0009393325
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,750,,165600,0.0000060386,,0.0054468,0.00018136,6.6739,0.51289,0.0008161345
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,800,,110480,0.0000090514,,0.0039657,0.00018946,6.2946,0.55656,0.0006300162
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,850,,55359,0.000018064,,0.0021607,0.00019756,5.9153,0.60022,0.0003652731
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,900,,236.27,0.0042324,,0.0000099933,0.00020566,5.536,0.64389,0.0000018051
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,950,,-54887,-0.000018219,,-0.0025082,0.00021377,5.1567,0.68756,-0.0004863963
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,1000,,-110010,-0.0000090901,,-0.0054154,0.00022187,4.7774,0.73122,-0.0011335454
872,10.1039/c4ee03042g,8684,1(d),10604,x=0.12,FeNb0.88Ti0.12Sb,1050,,-165130,-0.0000060558,,-0.0087331,0.00022997,4.3981,0.77489,-0.0019856529
