sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
27933,10.1038/ncomms13713,26655,2(b),33444,Bi-doped SnSe_ 1.7e19,Sn0.96SeBi0.04,650,6.7894e+24,4393.3,0.00084475,-0.0004468,0.39535,1.3841,0.0002276193,0.0021367143
27933,10.1038/ncomms13713,26655,2(b),33444,Bi-doped SnSe_ 1.7e19,Sn0.96SeBi0.04,700,8.1796e+24,4959.7,0.00090245,-0.00041024,0.33823,1.5656,0.0002016251,0.0026681548
27933,10.1038/ncomms13713,26655,2(b),33444,Bi-doped SnSe_ 1.7e19,Sn0.96SeBi0.04,750,9.5698e+24,5526.1,0.00096014,-0.00037369,0.28111,1.7471,0.0001809594,0.0034155313
27933,10.1038/ncomms13713,26656,3(a),33444,Bi-doped SnSe_ 1.7e19,Sn0.96SeBi0.04,300,,428.47,0.00044089,-0.00070269,0.79521,0.11377,0.0023338857,0.0005544322
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,350,-1.593e+24,1374.4,0.00046414,-0.00057364,0.69696,0.14978,0.0007275902,0.0006659493
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,400,2.0236e+23,2008.9,0.00053125,-0.0005472,0.65031,0.37165,0.0004977849,0.0008169181
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,450,1.9977e+24,2643.4,0.00059836,-0.00052077,0.60365,0.59353,0.0003783007,0.0009912366
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,500,3.7931e+24,3277.9,0.00066547,-0.00049434,0.557,0.8154,0.0003050734,0.0011947397
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,550,5.5885e+24,3912.4,0.00073258,-0.00046791,0.51034,1.0373,0.0002555976,0.0014354744
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,600,7.3839e+24,4546.9,0.00079969,-0.00044147,0.46368,1.2592,0.0002199301,0.0017246592
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,650,9.1793e+24,5181.3,0.0008668,-0.00041504,0.41703,1.481,0.0001930018,0.0020785075
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,700,1.0975e+25,5815.8,0.00093391,-0.00038861,0.37037,1.7029,0.0001719454,0.0025215595
27933,10.1038/ncomms13713,26655,2(b),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,750,1.277e+25,6450.3,0.001001,-0.00036218,0.32372,1.9248,0.0001550315,0.0030921784
27933,10.1038/ncomms13713,26656,3(a),33445,Bi-doped SnSe_ 2.1e19,Sn0.94SeBi0.06,300,,739.91,0.00039703,-0.00060007,0.74362,-0.072101,0.0013515157,0.0005339152
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,350,,320.74,0.00015991,-0.00063172,0.45437,0.12759,0.0031177901,0.0003519378
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,400,,434.78,0.00017386,-0.00061999,0.42732,0.19249,0.0023000138,0.0004068614
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,450,,548.81,0.0001878,-0.00060826,0.40027,0.2574,0.0018221242,0.0004691833
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,500,,662.84,0.00020175,-0.00059653,0.37321,0.32231,0.0015086597,0.0005405804
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,550,,776.88,0.00021569,-0.0005848,0.34616,0.38722,0.0012872001,0.0006230934
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,600,,890.91,0.00022964,-0.00057308,0.31911,0.45213,0.0011224478,0.0007196265
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,650,,1004.9,0.00024358,-0.00056135,0.29205,0.51704,0.0009951239,0.0008340353
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,700,,1119,0.00025753,-0.00054962,0.265,0.58195,0.000893655,0.0009718113
27933,10.1038/ncomms13713,26690,5(a),33472,Bi-doped SnSe_ 2.1e19_ a-axis,Sn0.94SeBi0.06,750,,1233,0.00027147,-0.00053789,0.23795,0.64685,0.00081103,0.0011408699
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,350,,734.81,0.00024913,-0.00053107,0.75659,0.02401,0.001360896,0.0003292801
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,400,,1397.2,0.00036252,-0.00051704,0.69986,0.28603,0.0007157171,0.0005179893
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,450,,2059.6,0.00047591,-0.00050301,0.64313,0.54805,0.0004855312,0.0007399904
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,500,,2722,0.00058929,-0.00048898,0.5864,0.81007,0.0003673769,0.0010049284
