sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,400,0.0025,139340,,1.576,0.0025011,0.00013267,2.5735,0.38875,0.0000071767,0.0009718671
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,450,0.0022222,108380,,1.3647,0.0027993,0.00016341,2.2167,0.56827,0.0000092268,0.0012628231
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,500,0.002,83270,,1.195,0.0029835,0.00019306,1.9228,0.77582,0.0000120091,0.0015516434
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,550,0.0018182,64626,,1.0562,0.0030951,0.0002199,1.6874,1.0088,0.0000154736,0.001834242
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,600,0.0016667,51989,,0.94347,0.0031527,0.00024273,1.5071,1.2551,0.0000192348,0.0020918983
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,650,0.0015385,44192,,0.8555,0.0031603,0.00026082,1.3777,1.491,0.0000226285,0.0022938956
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,700,0.0014286,39697,,0.79232,0.0031157,0.00027392,1.294,1.6855,0.0000251908,0.0024078053
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,750,0.0013333,36942,,0.75335,0.0030185,0.00028229,1.2484,1.8134,0.0000270695,0.0024178949
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,800,0.00125,34682,,0.73527,0.0028785,0.00028662,1.2301,1.872,0.0000288334,0.0023400537
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,850,0.0011765,32329,,0.72996,0.0027239,0.00028808,1.2245,1.8908,0.000030932,0.0022244998
14602,10.1038/ncomms12167,1883,2(a),2835,x=3,Pb0.95Na0.02TeSr0.03,900,0.0011111,30303,,0.72242,0.0026096,0.0002883,1.2117,1.9383,0.000033,0.0021536684
14602,10.1038/ncomms12167,1886,3(a),2835,x=3,Pb0.95Na0.02TeSr0.03,300,0.0033333,,,,,,3.4999,,,
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,300,0.0033333,207270,,,0.0016719,,3.2918,0.15237,0.0000048246,0.0005078984
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,350,0.0028571,173250,,1.7547,0.0022923,0.00011427,2.8274,0.28376,0.000005772,0.0008107449
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,400,0.0025,138610,,1.4995,0.0026992,0.00014279,2.4436,0.44184,0.0000072145,0.0011045998
