sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
3404,10.1016/j.jssc.2012.06.019,3152,4(c),4363,x=0,CeFe4Sb12,300,,,0.0015793,0.000083836,2.8052,0.13512,,0.0005629902
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4363,x=0,CeFe4Sb12,800,,0.50516,,,2.7721,,,
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4363,x=0,CeFe4Sb12,850,,,,,2.7687,,,
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,300,197440,,0.0015146,0.00008409,2.7981,0.12694,0.0000050648,0.0005412959
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,350,190440,1.4218,0.0016623,0.00009041,2.7924,0.19722,0.000005251,0.0005952944
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,400,183450,1.3276,0.0018101,0.000098009,2.7867,0.2675,0.0000054511,0.0006495496
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,450,176450,1.2334,0.0019579,0.00010608,2.781,0.33777,0.0000056673,0.0007040273
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,500,169450,1.1392,0.0021057,0.00011408,2.7753,0.40805,0.0000059014,0.0007587288
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,550,162460,1.045,0.0022534,0.00012165,2.7696,0.47833,0.0000061554,0.0008136193
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,600,155460,0.95075,0.0024012,0.00012856,2.7639,0.54861,0.0000064325,0.0008687724
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,650,148460,0.85654,0.002549,0.00013458,2.7582,0.61889,0.0000067358,0.0009241534
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,700,141470,0.76233,0.0026967,0.00013948,2.7525,0.68917,0.0000070686,0.0009797275
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,750,134470,0.66812,0.0028445,0.00014288,2.7468,0.75945,0.0000074366,0.0010355687
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4364,x=0.03,CeFe3.97Ga0.03Sb12,800,127470,,,,2.7411,,0.000007845,
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4364,x=0.03,CeFe3.97Ga0.03Sb12,850,,,,,2.7354,,,
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,300,194470,,0.0014421,0.00008586,2.6732,0.11826,0.0000051422,0.0005394658
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,350,187810,1.3532,0.0016061,0.000092861,2.6727,0.19373,0.0000053245,0.0006009279
