sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27938,10.1016/j.joule.2018.02.016,25634,2(a),31931,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ ZEM,undefined,400,0.000013681,0.5731,0.00017378,0.97717,1.0581,73094.0720707551,0.0022074036,0.002258976
27938,10.1016/j.joule.2018.02.016,25634,2(a),31931,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ ZEM,undefined,450,0.00001655,0.54859,0.00020305,0.90734,1.3823,60422.9607250755,0.0024911965,0.0027456042
27938,10.1016/j.joule.2018.02.016,25634,2(a),31931,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ ZEM,undefined,500,0.000019874,0.52407,0.00023677,0.83751,1.7064,50316.9970816142,0.0028207725,0.0033680464
27938,10.1016/j.joule.2018.02.016,25634,2(a),31931,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ ZEM,undefined,550,0.000023808,0.49955,0.00026333,0.76768,2.0305,42002.688172043,0.0029125793,0.0037940018
27938,10.1016/j.joule.2018.02.016,25634,2(a),31931,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ ZEM,undefined,600,0.00002851,,0.00028245,0.69786,2.3547,35075.4121360926,0.0027982463,0.0040097531
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,350,0.0000079217,0.71058,0.0001285,1.3564,0.51419,126235.5302523448,0.0020844326,0.0015367389
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,400,0.000011046,0.68566,0.0001595,1.2461,0.82922,90530.5087814593,0.0023031188,0.0018482616
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,450,0.000014171,0.66075,0.00018862,1.1359,1.1442,70566.650201115,0.0025105853,0.0022102168
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,500,0.000017295,0.63583,0.00021584,1.0256,1.4593,57820.1792425557,0.0026936632,0.0026264267
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,550,0.00002042,0.61091,0.00024119,0.91528,1.7743,48971.5964740451,0.0028488059,0.0031124966
27938,10.1016/j.joule.2018.02.016,25634,2(a),31932,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 1st,undefined,600,0.000023544,,0.00026464,,,42473.6663268773,0.0029746147,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,350,0.0000095001,0.76712,0.0001294,1.3544,0.42432,105262.0498731592,0.0017625457,0.0013013479
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,400,0.000012759,0.73708,0.00016002,1.2477,0.73957,78376.0482796458,0.0020069285,0.0016085024
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,450,0.000016019,0.70703,0.00019064,1.1409,1.0548,62425.8692802297,0.0022687814,0.0019885892
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,500,0.000019278,0.67699,0.00022126,1.0342,1.3701,51872.6008922087,0.0025394744,0.0024554964
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,550,0.000022537,0.64694,0.00025188,0.92752,1.6853,44371.4780139326,0.0028150834,0.0030350649
27938,10.1016/j.joule.2018.02.016,25634,2(a),31933,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 2nd,undefined,600,,,0.0002825,0.82081,,,,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,350,0.0000088239,0.77025,0.00014051,1.3473,0.57234,113328.5735332449,0.0022374528,0.0016606939
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,400,0.000011975,0.73566,0.00016628,1.2404,0.84945,83507.3068893528,0.0023088967,0.001861413
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,450,0.000015126,0.70107,0.00019205,1.1335,1.1266,66111.331482216,0.0024383976,0.002151211
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,500,0.000018277,0.66648,0.00021782,1.0266,1.4037,54713.574437818,0.0025959158,0.0025286536
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,550,0.000021427,0.63188,0.00024359,0.91972,1.6808,46670.0891398703,0.0027692205,0.0030109387
27938,10.1016/j.joule.2018.02.016,25634,2(a),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,600,0.000024578,,0.00026936,0.81283,1.9579,40686.7930669705,0.0029520225,0.0036317834
27938,10.1016/j.joule.2018.02.016,25642,4(d),31934,Ge0.9-yPb0.1BiyTe_ y=0.04_ 1.5e20_ 3rd,undefined,300,,,,,0.29523,,,
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,350,0.0000077825,0.67343,0.00013871,1.3072,0.62683,128493.414712496,0.0024722729,0.0018912737
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,400,0.00001046,0.64393,0.00016123,1.2058,0.92866,95602.2944550669,0.0024851924,0.002061032
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,450,0.000013137,0.61443,0.00018459,1.1045,1.2305,76120.8799573723,0.0025937024,0.0023483045
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,500,0.000015814,0.58493,0.00020879,1.0031,1.5323,63235.1081320349,0.0027566248,0.0027481056
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,550,0.000018492,0.55542,0.00023382,0.9018,1.8342,54077.4388924941,0.0029565105,0.0032784548
27938,10.1016/j.joule.2018.02.016,25634,2(a),31935,Ge0.9-yPb0.1BiyTe_ y=0.05_ 1.3e20_ ZEM,undefined,600,0.000021169,,0.00025968,0.80046,2.3877,47238.8870518211,0.0031854931,0.0039795781
