sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21244,10.1073/pnas.1617663113,17144,4(F),20640,FeNb.7Ti0.3Sb,Fe1.02Nb0.69Ti0.3Sb0.98,900,134320,0.0047101,0.00017876,4.376,0.90834,0.0000074449,0.0010763483
21244,10.1073/pnas.1617663113,17144,4(F),20640,FeNb.7Ti0.3Sb,Fe1.02Nb0.69Ti0.3Sb0.98,950,111590,0.0048028,0.00018609,4.2066,0.97296,0.0000089614,0.0011417297
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,350,209550,0.0082603,0.00019235,11.686,0.26639,0.0000047721,0.0007068544
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,400,193090,0.0079144,0.00020479,11.198,0.29787,0.0000051789,0.0007067691
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,450,176630,0.0075686,0.00021685,10.709,0.32936,0.0000056616,0.0007067513
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,500,160180,0.0072227,0.00022752,10.221,0.36085,0.000006243,0.000706653
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,550,143720,0.0068768,0.00023663,9.732,0.39234,0.000006958,0.0007066173
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,600,127260,0.006531,0.00024457,9.2436,0.42383,0.0000078579,0.0007065429
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,650,110800,0.0061851,0.00025204,8.7551,0.45531,0.0000090253,0.0007064568
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,700,94346,0.0058392,0.00025984,8.2666,0.4868,0.0000105993,0.0007063605
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,750,77889,0.0054934,0.00026858,7.7781,0.51829,0.0000128388,0.000706265
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,800,61432,0.0051475,0.00027848,7.2896,0.54978,0.0000162782,0.000706143
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,850,44975,0.0048016,0.0002891,6.8011,0.58126,0.0000222346,0.0007060034
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,900,28517,0.0044558,0.00029911,6.3126,0.61275,0.0000350668,0.0007058581
21244,10.1073/pnas.1617663113,17144,4(F),20641,FeNb0.6Ti0.4Sb,Fe1.03Nb0.95Ti0.04Sb0.98,950,12060,0.0041099,0.00030604,5.8241,0.64424,0.0000829187,0.0007056713
