sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,mol %,Electrical resistivity,Power factor,Figure of merit Z
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,550,,,96672,-0.00012211,1.9011,0.41702,,0.0000103443,0.0014414619,0.0007582252
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,600,,,78100,-0.00013646,1.7233,0.50635,,0.0000128041,0.001454326,0.0008439192
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,650,,,63417,-0.00015064,1.5726,0.59481,,0.0000157686,0.0014390845,0.0009150989
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,700,,,51361,-0.00016319,1.4419,0.66402,,0.00001947,0.0013677936,0.000948605
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,350,,845.57,96056,-0.00015082,2.115,0.36158,,0.0000104106,0.0021849544,0.0010330753
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,400,,725.71,70192,-0.00017408,1.8795,0.45269,,0.0000142466,0.0021270876,0.0011317306
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,450,,605.84,52526,-0.00019564,1.6808,0.53825,,0.0000190382,0.0020104332,0.0011961168
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,500,,485.98,40148,-0.00021532,1.5168,0.61358,,0.0000249078,0.0018613698,0.0012271689
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,550,,366.12,31195,-0.0002336,1.384,0.67648,,0.0000320564,0.0017022787,0.0012299702
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,600,,246.26,24557,-0.00025088,1.2785,0.72537,,0.0000407216,0.0015456366,0.0012089453
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,650,,126.4,19591,-0.0002665,1.1974,0.75531,,0.0000510438,0.0013913969,0.0011620151
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,700,,6.5335,15831,-0.00027797,1.1399,0.75117,,0.0000631672,0.001223219,0.0010730932
4793,10.1103/physrevb.84.155207,25540,3b,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,300,,965.43,,,,,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,350,,,,,,0.4008,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,400,,,,,,0.45228,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,450,,,,,,0.50375,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,500,,,,,,0.55522,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,550,,,,,,0.60669,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,600,,,,,,0.65817,,,,
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,650,,,,,,0.70964,,,,
