sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,700,0.000026274,0.00026384,1.0248,38060.4399786862,0.0026494461
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,750,0.000028848,0.00028144,0.88703,34664.4481419856,0.002745718
156,10.1002/adma.201103153,21538,1a,26785,9.0e19,MgxPb1‐xTe:Na,800,,,0.74924,,
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,350,0.0000082138,0.00012441,1.9242,121746.3293481702,0.0018843712
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,400,0.000010606,0.0001422,1.7966,94286.2530643032,0.0019065472
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,450,0.000012998,0.00015999,1.669,76934.9130635482,0.0019692876
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,500,0.00001539,0.00017778,1.5414,64977.2579597141,0.0020536536
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,550,0.000017782,0.00019556,1.4138,56236.6437970982,0.0021506981
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,600,0.000020174,0.00021335,1.2862,49568.7518588282,0.0022562815
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,650,0.000022566,0.00023114,1.1586,44314.4553753434,0.0023675308
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,700,0.000024958,0.00024893,1.031,40067.3130859845,0.0024828169
156,10.1002/adma.201103153,21538,1a,26786,1.0e20,MgxPb1‐xTe:Na,750,0.00002735,0.00026671,0.90344,36563.071297989,0.0026008857
156,10.1002/adma.201103153,21539,3b,26786,1.0e20,MgxPb1‐xTe:Na,300,,0.00010663,,,
156,10.1002/adma.201103153,21541,3d,26786,1.0e20,MgxPb1‐xTe:Na,800,,,0.77584,,
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,350,0.0000072553,0.00012855,1.9096,137830.2757983819,0.0022776594
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,400,0.0000095631,0.00014578,1.7785,104568.602231494,0.0022222719
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,450,0.000011871,0.000163,1.6474,84238.9015247241,0.0022381434
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,500,0.000014179,0.00018023,1.5164,70526.8354608929,0.0022909128
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,550,0.000016487,0.00019745,1.3853,60653.8484866865,0.0023646814
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,600,0.000018794,0.00021468,1.2542,53208.4707885495,0.0024522455
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,650,0.000021102,0.00023191,1.1232,47388.8730925979,0.0025486801
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,700,0.00002341,0.00024913,0.99211,42716.7876975651,0.0026512498
156,10.1002/adma.201103153,21538,1a,26787,1.2e20,MgxPb1‐xTe:Na,750,0.000025718,0.00026636,0.86104,38883.2724162065,0.0027586768
156,10.1002/adma.201103153,21539,3b,26787,1.2e20,MgxPb1‐xTe:Na,300,,0.00011133,,,
156,10.1002/adma.201103153,21540,3c,26787,1.2e20,MgxPb1‐xTe:Na,800,0.000028026,,,35681.1532148719,
