sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,332,0.027888,0.0000063101,0.000072986,2.7038,0.14131,158476.093881238,0.0008441952,0.0003122255
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,332.5,0.027864,0.0000063167,0.000073046,2.698,0.1423,158310.5102347745,0.0008447003,0.0003130839
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,333,0.027839,0.0000063234,0.000073107,2.6923,0.1433,158142.7712939242,0.0008452151,0.000313938
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,333.5,0.027815,0.0000063302,0.000073169,2.6865,0.1443,157972.8918517582,0.0008457399,0.000314811
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,334,0.027791,0.000006337,0.000073233,2.6808,0.14529,157803.3769922676,0.0008463109,0.0003156934
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,334.5,0.027767,0.0000063439,0.000073299,2.6752,0.14629,157631.7407273128,0.0008469149,0.00031658
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,335,0.027743,0.0000063509,0.000073365,2.6695,0.14729,157457.9980790124,0.0008475056,0.0003174773
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,335.5,0.027718,0.0000063579,0.000073433,2.6639,0.14828,157284.6380094056,0.0008481425,0.0003183838
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,336,0.027694,0.000006365,0.000073503,2.6583,0.14928,157109.1908876669,0.0008488124,0.0003193065
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,336.5,0.02767,0.0000063722,0.000073573,2.6527,0.15027,156931.671950033,0.000849469,0.0003202281
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,337,0.027646,0.0000063795,0.000073645,2.6471,0.15127,156752.0965592915,0.0008501585,0.000321166
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,337.5,0.027622,0.0000063868,0.000073719,2.6416,0.15227,156572.9316715726,0.0008508942,0.0003221132
